    Finished release [optimized] target(s) in 0.05s
     Running `target/release/gauge_mc_runner --klow 0.5 --khigh 1.5 --potential-type binary -r 64 -N 1024 -w 128 -L 24 -s 32 --config-output /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=24/out-k05-k15.yaml --output-winding -o /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=24/out-k05-k15.npz`
[2024-02-27T14:03:24Z INFO  gauge_mc_runner] Warmup 0/128
[2024-02-27T14:06:04Z INFO  gauge_mc_runner] Warmup 10/128
[2024-02-27T14:08:43Z INFO  gauge_mc_runner] Warmup 20/128
[2024-02-27T14:11:23Z INFO  gauge_mc_runner] Warmup 30/128
[2024-02-27T14:14:03Z INFO  gauge_mc_runner] Warmup 40/128
[2024-02-27T14:16:42Z INFO  gauge_mc_runner] Warmup 50/128
[2024-02-27T14:19:22Z INFO  gauge_mc_runner] Warmup 60/128
[2024-02-27T14:22:01Z INFO  gauge_mc_runner] Warmup 70/128
[2024-02-27T14:24:41Z INFO  gauge_mc_runner] Warmup 80/128
[2024-02-27T14:27:20Z INFO  gauge_mc_runner] Warmup 90/128
[2024-02-27T14:30:00Z INFO  gauge_mc_runner] Warmup 100/128
[2024-02-27T14:32:39Z INFO  gauge_mc_runner] Warmup 110/128
[2024-02-27T14:35:19Z INFO  gauge_mc_runner] Warmup 120/128
[2024-02-27T14:37:26Z INFO  gauge_mc_runner] Done!
[2024-02-27T14:37:26Z INFO  gauge_mc_runner] Sampling 0/1024
[2024-02-27T14:40:06Z INFO  gauge_mc_runner] Sampling 10/1024
[2024-02-27T14:42:46Z INFO  gauge_mc_runner] Sampling 20/1024
[2024-02-27T14:45:25Z INFO  gauge_mc_runner] Sampling 30/1024
[2024-02-27T14:48:05Z INFO  gauge_mc_runner] Sampling 40/1024
[2024-02-27T14:50:44Z INFO  gauge_mc_runner] Sampling 50/1024
[2024-02-27T14:53:24Z INFO  gauge_mc_runner] Sampling 60/1024
[2024-02-27T14:56:04Z INFO  gauge_mc_runner] Sampling 70/1024
[2024-02-27T14:58:43Z INFO  gauge_mc_runner] Sampling 80/1024
[2024-02-27T15:01:23Z INFO  gauge_mc_runner] Sampling 90/1024
[2024-02-27T15:04:02Z INFO  gauge_mc_runner] Sampling 100/1024
[2024-02-27T15:06:42Z INFO  gauge_mc_runner] Sampling 110/1024
[2024-02-27T15:09:22Z INFO  gauge_mc_runner] Sampling 120/1024
[2024-02-27T15:12:01Z INFO  gauge_mc_runner] Sampling 130/1024
[2024-02-27T15:14:41Z INFO  gauge_mc_runner] Sampling 140/1024
[2024-02-27T15:17:20Z INFO  gauge_mc_runner] Sampling 150/1024
[2024-02-27T15:20:00Z INFO  gauge_mc_runner] Sampling 160/1024
[2024-02-27T15:22:39Z INFO  gauge_mc_runner] Sampling 170/1024
[2024-02-27T15:25:19Z INFO  gauge_mc_runner] Sampling 180/1024
[2024-02-27T15:27:59Z INFO  gauge_mc_runner] Sampling 190/1024
[2024-02-27T15:30:38Z INFO  gauge_mc_runner] Sampling 200/1024
[2024-02-27T15:33:18Z INFO  gauge_mc_runner] Sampling 210/1024
[2024-02-27T15:35:57Z INFO  gauge_mc_runner] Sampling 220/1024
[2024-02-27T15:38:37Z INFO  gauge_mc_runner] Sampling 230/1024
[2024-02-27T15:41:16Z INFO  gauge_mc_runner] Sampling 240/1024
[2024-02-27T15:43:56Z INFO  gauge_mc_runner] Sampling 250/1024
[2024-02-27T15:46:36Z INFO  gauge_mc_runner] Sampling 260/1024
[2024-02-27T15:49:15Z INFO  gauge_mc_runner] Sampling 270/1024
[2024-02-27T15:51:55Z INFO  gauge_mc_runner] Sampling 280/1024
[2024-02-27T15:54:35Z INFO  gauge_mc_runner] Sampling 290/1024
[2024-02-27T15:57:14Z INFO  gauge_mc_runner] Sampling 300/1024
[2024-02-27T15:59:54Z INFO  gauge_mc_runner] Sampling 310/1024
[2024-02-27T16:02:33Z INFO  gauge_mc_runner] Sampling 320/1024
[2024-02-27T16:05:13Z INFO  gauge_mc_runner] Sampling 330/1024
[2024-02-27T16:07:52Z INFO  gauge_mc_runner] Sampling 340/1024
[2024-02-27T16:10:32Z INFO  gauge_mc_runner] Sampling 350/1024
[2024-02-27T16:13:11Z INFO  gauge_mc_runner] Sampling 360/1024
[2024-02-27T16:15:51Z INFO  gauge_mc_runner] Sampling 370/1024
[2024-02-27T16:18:31Z INFO  gauge_mc_runner] Sampling 380/1024
[2024-02-27T16:21:10Z INFO  gauge_mc_runner] Sampling 390/1024
[2024-02-27T16:23:50Z INFO  gauge_mc_runner] Sampling 400/1024
[2024-02-27T16:26:29Z INFO  gauge_mc_runner] Sampling 410/1024
[2024-02-27T16:29:09Z INFO  gauge_mc_runner] Sampling 420/1024
[2024-02-27T16:31:48Z INFO  gauge_mc_runner] Sampling 430/1024
[2024-02-27T16:34:28Z INFO  gauge_mc_runner] Sampling 440/1024
[2024-02-27T16:37:07Z INFO  gauge_mc_runner] Sampling 450/1024
[2024-02-27T16:39:47Z INFO  gauge_mc_runner] Sampling 460/1024
[2024-02-27T16:42:27Z INFO  gauge_mc_runner] Sampling 470/1024
[2024-02-27T16:45:06Z INFO  gauge_mc_runner] Sampling 480/1024
[2024-02-27T16:47:46Z INFO  gauge_mc_runner] Sampling 490/1024
[2024-02-27T16:50:25Z INFO  gauge_mc_runner] Sampling 500/1024
[2024-02-27T16:53:05Z INFO  gauge_mc_runner] Sampling 510/1024
[2024-02-27T16:55:44Z INFO  gauge_mc_runner] Sampling 520/1024
[2024-02-27T16:58:24Z INFO  gauge_mc_runner] Sampling 530/1024
[2024-02-27T17:01:04Z INFO  gauge_mc_runner] Sampling 540/1024
[2024-02-27T17:03:43Z INFO  gauge_mc_runner] Sampling 550/1024
[2024-02-27T17:06:23Z INFO  gauge_mc_runner] Sampling 560/1024
[2024-02-27T17:09:02Z INFO  gauge_mc_runner] Sampling 570/1024
[2024-02-27T17:11:42Z INFO  gauge_mc_runner] Sampling 580/1024
[2024-02-27T17:14:22Z INFO  gauge_mc_runner] Sampling 590/1024
[2024-02-27T17:17:01Z INFO  gauge_mc_runner] Sampling 600/1024
[2024-02-27T17:19:41Z INFO  gauge_mc_runner] Sampling 610/1024
[2024-02-27T17:22:20Z INFO  gauge_mc_runner] Sampling 620/1024
[2024-02-27T17:25:00Z INFO  gauge_mc_runner] Sampling 630/1024
[2024-02-27T17:27:39Z INFO  gauge_mc_runner] Sampling 640/1024
[2024-02-27T17:30:19Z INFO  gauge_mc_runner] Sampling 650/1024
[2024-02-27T17:32:59Z INFO  gauge_mc_runner] Sampling 660/1024
[2024-02-27T17:35:38Z INFO  gauge_mc_runner] Sampling 670/1024
[2024-02-27T17:38:18Z INFO  gauge_mc_runner] Sampling 680/1024
[2024-02-27T17:40:57Z INFO  gauge_mc_runner] Sampling 690/1024
[2024-02-27T17:43:37Z INFO  gauge_mc_runner] Sampling 700/1024
[2024-02-27T17:46:17Z INFO  gauge_mc_runner] Sampling 710/1024
[2024-02-27T17:48:56Z INFO  gauge_mc_runner] Sampling 720/1024
[2024-02-27T17:51:36Z INFO  gauge_mc_runner] Sampling 730/1024
[2024-02-27T17:54:15Z INFO  gauge_mc_runner] Sampling 740/1024
[2024-02-27T17:56:55Z INFO  gauge_mc_runner] Sampling 750/1024
[2024-02-27T17:59:35Z INFO  gauge_mc_runner] Sampling 760/1024
[2024-02-27T18:02:14Z INFO  gauge_mc_runner] Sampling 770/1024
[2024-02-27T18:04:54Z INFO  gauge_mc_runner] Sampling 780/1024
[2024-02-27T18:07:33Z INFO  gauge_mc_runner] Sampling 790/1024
[2024-02-27T18:10:13Z INFO  gauge_mc_runner] Sampling 800/1024
[2024-02-27T18:12:53Z INFO  gauge_mc_runner] Sampling 810/1024
[2024-02-27T18:15:32Z INFO  gauge_mc_runner] Sampling 820/1024
[2024-02-27T18:18:12Z INFO  gauge_mc_runner] Sampling 830/1024
[2024-02-27T18:20:51Z INFO  gauge_mc_runner] Sampling 840/1024
[2024-02-27T18:23:31Z INFO  gauge_mc_runner] Sampling 850/1024
[2024-02-27T18:26:10Z INFO  gauge_mc_runner] Sampling 860/1024
[2024-02-27T18:28:50Z INFO  gauge_mc_runner] Sampling 870/1024
[2024-02-27T18:31:30Z INFO  gauge_mc_runner] Sampling 880/1024
[2024-02-27T18:34:09Z INFO  gauge_mc_runner] Sampling 890/1024
[2024-02-27T18:36:49Z INFO  gauge_mc_runner] Sampling 900/1024
[2024-02-27T18:39:28Z INFO  gauge_mc_runner] Sampling 910/1024
[2024-02-27T18:42:08Z INFO  gauge_mc_runner] Sampling 920/1024
[2024-02-27T18:44:47Z INFO  gauge_mc_runner] Sampling 930/1024
[2024-02-27T18:47:27Z INFO  gauge_mc_runner] Sampling 940/1024
[2024-02-27T18:50:06Z INFO  gauge_mc_runner] Sampling 950/1024
[2024-02-27T18:52:46Z INFO  gauge_mc_runner] Sampling 960/1024
[2024-02-27T18:55:25Z INFO  gauge_mc_runner] Sampling 970/1024
[2024-02-27T18:58:05Z INFO  gauge_mc_runner] Sampling 980/1024
[2024-02-27T19:00:44Z INFO  gauge_mc_runner] Sampling 990/1024
[2024-02-27T19:03:24Z INFO  gauge_mc_runner] Sampling 1000/1024
[2024-02-27T19:06:03Z INFO  gauge_mc_runner] Sampling 1010/1024
[2024-02-27T19:08:43Z INFO  gauge_mc_runner] Sampling 1020/1024
[2024-02-27T19:09:47Z INFO  gauge_mc_runner] Done!
