    Finished release [optimized] target(s) in 0.05s
     Running `target/release/gauge_mc_runner --klow 0.736 --khigh 0.798 --potential-type binary -r 64 -N 1024 -w 128 -L 24 -s 32 --config-output /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=24/out-k0736-k0798.yaml --output-winding -o /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=24/out-k0736-k0798.npz`
[2024-02-28T00:15:33Z INFO  gauge_mc_runner] Warmup 0/128
[2024-02-28T00:18:11Z INFO  gauge_mc_runner] Warmup 10/128
[2024-02-28T00:20:50Z INFO  gauge_mc_runner] Warmup 20/128
[2024-02-28T00:23:29Z INFO  gauge_mc_runner] Warmup 30/128
[2024-02-28T00:26:07Z INFO  gauge_mc_runner] Warmup 40/128
[2024-02-28T00:28:46Z INFO  gauge_mc_runner] Warmup 50/128
[2024-02-28T00:31:24Z INFO  gauge_mc_runner] Warmup 60/128
[2024-02-28T00:34:03Z INFO  gauge_mc_runner] Warmup 70/128
[2024-02-28T00:36:42Z INFO  gauge_mc_runner] Warmup 80/128
[2024-02-28T00:39:21Z INFO  gauge_mc_runner] Warmup 90/128
[2024-02-28T00:41:59Z INFO  gauge_mc_runner] Warmup 100/128
[2024-02-28T00:44:38Z INFO  gauge_mc_runner] Warmup 110/128
[2024-02-28T00:47:16Z INFO  gauge_mc_runner] Warmup 120/128
[2024-02-28T00:49:23Z INFO  gauge_mc_runner] Done!
[2024-02-28T00:49:23Z INFO  gauge_mc_runner] Sampling 0/1024
[2024-02-28T00:52:02Z INFO  gauge_mc_runner] Sampling 10/1024
[2024-02-28T00:54:41Z INFO  gauge_mc_runner] Sampling 20/1024
[2024-02-28T00:57:20Z INFO  gauge_mc_runner] Sampling 30/1024
[2024-02-28T00:59:59Z INFO  gauge_mc_runner] Sampling 40/1024
[2024-02-28T01:02:37Z INFO  gauge_mc_runner] Sampling 50/1024
[2024-02-28T01:05:16Z INFO  gauge_mc_runner] Sampling 60/1024
[2024-02-28T01:07:55Z INFO  gauge_mc_runner] Sampling 70/1024
[2024-02-28T01:10:34Z INFO  gauge_mc_runner] Sampling 80/1024
[2024-02-28T01:13:12Z INFO  gauge_mc_runner] Sampling 90/1024
[2024-02-28T01:15:51Z INFO  gauge_mc_runner] Sampling 100/1024
[2024-02-28T01:18:30Z INFO  gauge_mc_runner] Sampling 110/1024
[2024-02-28T01:21:09Z INFO  gauge_mc_runner] Sampling 120/1024
[2024-02-28T01:23:47Z INFO  gauge_mc_runner] Sampling 130/1024
[2024-02-28T01:26:26Z INFO  gauge_mc_runner] Sampling 140/1024
[2024-02-28T01:29:05Z INFO  gauge_mc_runner] Sampling 150/1024
[2024-02-28T01:31:43Z INFO  gauge_mc_runner] Sampling 160/1024
[2024-02-28T01:34:22Z INFO  gauge_mc_runner] Sampling 170/1024
[2024-02-28T01:37:01Z INFO  gauge_mc_runner] Sampling 180/1024
[2024-02-28T01:39:39Z INFO  gauge_mc_runner] Sampling 190/1024
[2024-02-28T01:42:18Z INFO  gauge_mc_runner] Sampling 200/1024
[2024-02-28T01:44:57Z INFO  gauge_mc_runner] Sampling 210/1024
[2024-02-28T01:47:36Z INFO  gauge_mc_runner] Sampling 220/1024
[2024-02-28T01:50:14Z INFO  gauge_mc_runner] Sampling 230/1024
[2024-02-28T01:52:53Z INFO  gauge_mc_runner] Sampling 240/1024
[2024-02-28T01:55:32Z INFO  gauge_mc_runner] Sampling 250/1024
[2024-02-28T01:58:10Z INFO  gauge_mc_runner] Sampling 260/1024
[2024-02-28T02:00:49Z INFO  gauge_mc_runner] Sampling 270/1024
[2024-02-28T02:03:28Z INFO  gauge_mc_runner] Sampling 280/1024
[2024-02-28T02:06:06Z INFO  gauge_mc_runner] Sampling 290/1024
[2024-02-28T02:08:45Z INFO  gauge_mc_runner] Sampling 300/1024
[2024-02-28T02:11:24Z INFO  gauge_mc_runner] Sampling 310/1024
[2024-02-28T02:14:02Z INFO  gauge_mc_runner] Sampling 320/1024
[2024-02-28T02:16:41Z INFO  gauge_mc_runner] Sampling 330/1024
[2024-02-28T02:19:20Z INFO  gauge_mc_runner] Sampling 340/1024
[2024-02-28T02:21:58Z INFO  gauge_mc_runner] Sampling 350/1024
[2024-02-28T02:24:37Z INFO  gauge_mc_runner] Sampling 360/1024
[2024-02-28T02:27:16Z INFO  gauge_mc_runner] Sampling 370/1024
[2024-02-28T02:29:54Z INFO  gauge_mc_runner] Sampling 380/1024
[2024-02-28T02:32:33Z INFO  gauge_mc_runner] Sampling 390/1024
[2024-02-28T02:35:12Z INFO  gauge_mc_runner] Sampling 400/1024
[2024-02-28T02:37:51Z INFO  gauge_mc_runner] Sampling 410/1024
[2024-02-28T02:40:30Z INFO  gauge_mc_runner] Sampling 420/1024
[2024-02-28T02:43:08Z INFO  gauge_mc_runner] Sampling 430/1024
[2024-02-28T02:45:47Z INFO  gauge_mc_runner] Sampling 440/1024
[2024-02-28T02:48:26Z INFO  gauge_mc_runner] Sampling 450/1024
[2024-02-28T02:51:04Z INFO  gauge_mc_runner] Sampling 460/1024
[2024-02-28T02:53:43Z INFO  gauge_mc_runner] Sampling 470/1024
[2024-02-28T02:56:22Z INFO  gauge_mc_runner] Sampling 480/1024
[2024-02-28T02:59:01Z INFO  gauge_mc_runner] Sampling 490/1024
[2024-02-28T03:01:39Z INFO  gauge_mc_runner] Sampling 500/1024
[2024-02-28T03:04:18Z INFO  gauge_mc_runner] Sampling 510/1024
[2024-02-28T03:06:57Z INFO  gauge_mc_runner] Sampling 520/1024
[2024-02-28T03:09:35Z INFO  gauge_mc_runner] Sampling 530/1024
[2024-02-28T03:12:14Z INFO  gauge_mc_runner] Sampling 540/1024
[2024-02-28T03:14:53Z INFO  gauge_mc_runner] Sampling 550/1024
[2024-02-28T03:17:31Z INFO  gauge_mc_runner] Sampling 560/1024
[2024-02-28T03:20:10Z INFO  gauge_mc_runner] Sampling 570/1024
[2024-02-28T03:22:49Z INFO  gauge_mc_runner] Sampling 580/1024
[2024-02-28T03:25:28Z INFO  gauge_mc_runner] Sampling 590/1024
[2024-02-28T03:28:06Z INFO  gauge_mc_runner] Sampling 600/1024
[2024-02-28T03:30:45Z INFO  gauge_mc_runner] Sampling 610/1024
[2024-02-28T03:33:24Z INFO  gauge_mc_runner] Sampling 620/1024
[2024-02-28T03:36:02Z INFO  gauge_mc_runner] Sampling 630/1024
[2024-02-28T03:38:41Z INFO  gauge_mc_runner] Sampling 640/1024
[2024-02-28T03:41:20Z INFO  gauge_mc_runner] Sampling 650/1024
[2024-02-28T03:43:59Z INFO  gauge_mc_runner] Sampling 660/1024
[2024-02-28T03:46:37Z INFO  gauge_mc_runner] Sampling 670/1024
[2024-02-28T03:49:16Z INFO  gauge_mc_runner] Sampling 680/1024
[2024-02-28T03:51:55Z INFO  gauge_mc_runner] Sampling 690/1024
[2024-02-28T03:54:33Z INFO  gauge_mc_runner] Sampling 700/1024
[2024-02-28T03:57:12Z INFO  gauge_mc_runner] Sampling 710/1024
[2024-02-28T03:59:51Z INFO  gauge_mc_runner] Sampling 720/1024
[2024-02-28T04:02:30Z INFO  gauge_mc_runner] Sampling 730/1024
[2024-02-28T04:05:08Z INFO  gauge_mc_runner] Sampling 740/1024
[2024-02-28T04:07:47Z INFO  gauge_mc_runner] Sampling 750/1024
[2024-02-28T04:10:26Z INFO  gauge_mc_runner] Sampling 760/1024
[2024-02-28T04:13:05Z INFO  gauge_mc_runner] Sampling 770/1024
[2024-02-28T04:15:43Z INFO  gauge_mc_runner] Sampling 780/1024
[2024-02-28T04:18:22Z INFO  gauge_mc_runner] Sampling 790/1024
[2024-02-28T04:21:01Z INFO  gauge_mc_runner] Sampling 800/1024
[2024-02-28T04:23:40Z INFO  gauge_mc_runner] Sampling 810/1024
[2024-02-28T04:26:18Z INFO  gauge_mc_runner] Sampling 820/1024
[2024-02-28T04:28:57Z INFO  gauge_mc_runner] Sampling 830/1024
[2024-02-28T04:31:36Z INFO  gauge_mc_runner] Sampling 840/1024
[2024-02-28T04:34:15Z INFO  gauge_mc_runner] Sampling 850/1024
[2024-02-28T04:36:53Z INFO  gauge_mc_runner] Sampling 860/1024
[2024-02-28T04:39:32Z INFO  gauge_mc_runner] Sampling 870/1024
[2024-02-28T04:42:11Z INFO  gauge_mc_runner] Sampling 880/1024
[2024-02-28T04:44:49Z INFO  gauge_mc_runner] Sampling 890/1024
[2024-02-28T04:47:28Z INFO  gauge_mc_runner] Sampling 900/1024
[2024-02-28T04:50:07Z INFO  gauge_mc_runner] Sampling 910/1024
[2024-02-28T04:52:46Z INFO  gauge_mc_runner] Sampling 920/1024
[2024-02-28T04:55:24Z INFO  gauge_mc_runner] Sampling 930/1024
[2024-02-28T04:58:03Z INFO  gauge_mc_runner] Sampling 940/1024
[2024-02-28T05:00:42Z INFO  gauge_mc_runner] Sampling 950/1024
[2024-02-28T05:03:21Z INFO  gauge_mc_runner] Sampling 960/1024
[2024-02-28T05:05:59Z INFO  gauge_mc_runner] Sampling 970/1024
