    Finished release [optimized] target(s) in 0.05s
     Running `target/release/gauge_mc_runner --klow 0.64 --khigh 0.89 --potential-type binary -r 64 -N 1024 -w 128 -L 24 -s 32 --config-output /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=24/out-k064-k089.yaml --output-winding -o /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=24/out-k064-k089.npz`
[2024-02-27T19:09:47Z INFO  gauge_mc_runner] Warmup 0/128
[2024-02-27T19:12:26Z INFO  gauge_mc_runner] Warmup 10/128
[2024-02-27T19:15:06Z INFO  gauge_mc_runner] Warmup 20/128
[2024-02-27T19:17:45Z INFO  gauge_mc_runner] Warmup 30/128
[2024-02-27T19:20:25Z INFO  gauge_mc_runner] Warmup 40/128
[2024-02-27T19:23:04Z INFO  gauge_mc_runner] Warmup 50/128
[2024-02-27T19:25:44Z INFO  gauge_mc_runner] Warmup 60/128
[2024-02-27T19:28:23Z INFO  gauge_mc_runner] Warmup 70/128
[2024-02-27T19:31:03Z INFO  gauge_mc_runner] Warmup 80/128
[2024-02-27T19:33:42Z INFO  gauge_mc_runner] Warmup 90/128
[2024-02-27T19:36:21Z INFO  gauge_mc_runner] Warmup 100/128
[2024-02-27T19:39:00Z INFO  gauge_mc_runner] Warmup 110/128
[2024-02-27T19:41:39Z INFO  gauge_mc_runner] Warmup 120/128
[2024-02-27T19:43:47Z INFO  gauge_mc_runner] Done!
[2024-02-27T19:43:47Z INFO  gauge_mc_runner] Sampling 0/1024
[2024-02-27T19:46:27Z INFO  gauge_mc_runner] Sampling 10/1024
[2024-02-27T19:49:06Z INFO  gauge_mc_runner] Sampling 20/1024
[2024-02-27T19:51:45Z INFO  gauge_mc_runner] Sampling 30/1024
[2024-02-27T19:54:25Z INFO  gauge_mc_runner] Sampling 40/1024
[2024-02-27T19:57:04Z INFO  gauge_mc_runner] Sampling 50/1024
[2024-02-27T19:59:43Z INFO  gauge_mc_runner] Sampling 60/1024
[2024-02-27T20:02:22Z INFO  gauge_mc_runner] Sampling 70/1024
[2024-02-27T20:05:01Z INFO  gauge_mc_runner] Sampling 80/1024
[2024-02-27T20:07:41Z INFO  gauge_mc_runner] Sampling 90/1024
[2024-02-27T20:10:20Z INFO  gauge_mc_runner] Sampling 100/1024
[2024-02-27T20:12:59Z INFO  gauge_mc_runner] Sampling 110/1024
[2024-02-27T20:15:39Z INFO  gauge_mc_runner] Sampling 120/1024
[2024-02-27T20:18:18Z INFO  gauge_mc_runner] Sampling 130/1024
[2024-02-27T20:20:57Z INFO  gauge_mc_runner] Sampling 140/1024
[2024-02-27T20:23:36Z INFO  gauge_mc_runner] Sampling 150/1024
[2024-02-27T20:26:16Z INFO  gauge_mc_runner] Sampling 160/1024
[2024-02-27T20:28:55Z INFO  gauge_mc_runner] Sampling 170/1024
[2024-02-27T20:31:35Z INFO  gauge_mc_runner] Sampling 180/1024
[2024-02-27T20:34:14Z INFO  gauge_mc_runner] Sampling 190/1024
[2024-02-27T20:36:54Z INFO  gauge_mc_runner] Sampling 200/1024
[2024-02-27T20:39:33Z INFO  gauge_mc_runner] Sampling 210/1024
[2024-02-27T20:42:12Z INFO  gauge_mc_runner] Sampling 220/1024
[2024-02-27T20:44:52Z INFO  gauge_mc_runner] Sampling 230/1024
[2024-02-27T20:47:31Z INFO  gauge_mc_runner] Sampling 240/1024
