    Finished release [optimized] target(s) in 0.05s
     Running `target/release/gauge_mc_runner --klow 0.76324 --khigh 0.76712 --potential-type binary -r 64 -N 1024 -w 128 -L 24 -s 32 --config-output /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=24/out-k076324-k076712.yaml --output-winding -o /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=24/out-k076324-k076712.npz`
[2024-02-28T10:24:45Z INFO  gauge_mc_runner] Warmup 0/128
[2024-02-28T10:27:23Z INFO  gauge_mc_runner] Warmup 10/128
[2024-02-28T10:30:02Z INFO  gauge_mc_runner] Warmup 20/128
[2024-02-28T10:32:40Z INFO  gauge_mc_runner] Warmup 30/128
[2024-02-28T10:35:19Z INFO  gauge_mc_runner] Warmup 40/128
[2024-02-28T10:37:57Z INFO  gauge_mc_runner] Warmup 50/128
[2024-02-28T10:40:36Z INFO  gauge_mc_runner] Warmup 60/128
[2024-02-28T10:43:14Z INFO  gauge_mc_runner] Warmup 70/128
[2024-02-28T10:45:53Z INFO  gauge_mc_runner] Warmup 80/128
[2024-02-28T10:48:31Z INFO  gauge_mc_runner] Warmup 90/128
[2024-02-28T10:51:10Z INFO  gauge_mc_runner] Warmup 100/128
[2024-02-28T10:53:48Z INFO  gauge_mc_runner] Warmup 110/128
[2024-02-28T10:56:27Z INFO  gauge_mc_runner] Warmup 120/128
[2024-02-28T10:58:34Z INFO  gauge_mc_runner] Done!
[2024-02-28T10:58:34Z INFO  gauge_mc_runner] Sampling 0/1024
[2024-02-28T11:01:12Z INFO  gauge_mc_runner] Sampling 10/1024
[2024-02-28T11:03:51Z INFO  gauge_mc_runner] Sampling 20/1024
[2024-02-28T11:06:29Z INFO  gauge_mc_runner] Sampling 30/1024
[2024-02-28T11:09:08Z INFO  gauge_mc_runner] Sampling 40/1024
[2024-02-28T11:11:47Z INFO  gauge_mc_runner] Sampling 50/1024
[2024-02-28T11:14:25Z INFO  gauge_mc_runner] Sampling 60/1024
[2024-02-28T11:17:04Z INFO  gauge_mc_runner] Sampling 70/1024
[2024-02-28T11:19:42Z INFO  gauge_mc_runner] Sampling 80/1024
[2024-02-28T11:22:21Z INFO  gauge_mc_runner] Sampling 90/1024
[2024-02-28T11:25:00Z INFO  gauge_mc_runner] Sampling 100/1024
[2024-02-28T11:27:38Z INFO  gauge_mc_runner] Sampling 110/1024
[2024-02-28T11:30:17Z INFO  gauge_mc_runner] Sampling 120/1024
[2024-02-28T11:32:56Z INFO  gauge_mc_runner] Sampling 130/1024
[2024-02-28T11:35:34Z INFO  gauge_mc_runner] Sampling 140/1024
[2024-02-28T11:38:13Z INFO  gauge_mc_runner] Sampling 150/1024
[2024-02-28T11:40:51Z INFO  gauge_mc_runner] Sampling 160/1024
[2024-02-28T11:43:30Z INFO  gauge_mc_runner] Sampling 170/1024
[2024-02-28T11:46:08Z INFO  gauge_mc_runner] Sampling 180/1024
[2024-02-28T11:48:47Z INFO  gauge_mc_runner] Sampling 190/1024
[2024-02-28T11:51:26Z INFO  gauge_mc_runner] Sampling 200/1024
[2024-02-28T11:54:04Z INFO  gauge_mc_runner] Sampling 210/1024
[2024-02-28T11:56:43Z INFO  gauge_mc_runner] Sampling 220/1024
[2024-02-28T11:59:21Z INFO  gauge_mc_runner] Sampling 230/1024
[2024-02-28T12:02:00Z INFO  gauge_mc_runner] Sampling 240/1024
[2024-02-28T12:04:39Z INFO  gauge_mc_runner] Sampling 250/1024
[2024-02-28T12:07:17Z INFO  gauge_mc_runner] Sampling 260/1024
[2024-02-28T12:09:56Z INFO  gauge_mc_runner] Sampling 270/1024
[2024-02-28T12:12:34Z INFO  gauge_mc_runner] Sampling 280/1024
[2024-02-28T12:15:13Z INFO  gauge_mc_runner] Sampling 290/1024
[2024-02-28T12:17:51Z INFO  gauge_mc_runner] Sampling 300/1024
[2024-02-28T12:20:30Z INFO  gauge_mc_runner] Sampling 310/1024
[2024-02-28T12:23:09Z INFO  gauge_mc_runner] Sampling 320/1024
[2024-02-28T12:25:47Z INFO  gauge_mc_runner] Sampling 330/1024
[2024-02-28T12:28:26Z INFO  gauge_mc_runner] Sampling 340/1024
[2024-02-28T12:31:04Z INFO  gauge_mc_runner] Sampling 350/1024
[2024-02-28T12:33:43Z INFO  gauge_mc_runner] Sampling 360/1024
[2024-02-28T12:36:22Z INFO  gauge_mc_runner] Sampling 370/1024
[2024-02-28T12:39:00Z INFO  gauge_mc_runner] Sampling 380/1024
[2024-02-28T12:41:39Z INFO  gauge_mc_runner] Sampling 390/1024
[2024-02-28T12:44:17Z INFO  gauge_mc_runner] Sampling 400/1024
[2024-02-28T12:46:56Z INFO  gauge_mc_runner] Sampling 410/1024
[2024-02-28T12:49:35Z INFO  gauge_mc_runner] Sampling 420/1024
[2024-02-28T12:52:13Z INFO  gauge_mc_runner] Sampling 430/1024
[2024-02-28T12:54:52Z INFO  gauge_mc_runner] Sampling 440/1024
[2024-02-28T12:57:31Z INFO  gauge_mc_runner] Sampling 450/1024
[2024-02-28T13:00:09Z INFO  gauge_mc_runner] Sampling 460/1024
[2024-02-28T13:02:48Z INFO  gauge_mc_runner] Sampling 470/1024
[2024-02-28T13:05:26Z INFO  gauge_mc_runner] Sampling 480/1024
[2024-02-28T13:08:05Z INFO  gauge_mc_runner] Sampling 490/1024
[2024-02-28T13:10:44Z INFO  gauge_mc_runner] Sampling 500/1024
[2024-02-28T13:13:22Z INFO  gauge_mc_runner] Sampling 510/1024
