    Finished release [optimized] target(s) in 0.05s
     Running `target/release/gauge_mc_runner --klow 0.76324 --khigh 0.76712 --potential-type binary -r 64 -N 1024 -w 128 -L 20 -s 32 --config-output /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=20/out-k076324-k076712.yaml --output-winding -o /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=20/out-k076324-k076712.npz`
[2024-02-27T11:39:46Z INFO  gauge_mc_runner] Warmup 0/128
[2024-02-27T11:41:01Z INFO  gauge_mc_runner] Warmup 10/128
[2024-02-27T11:42:16Z INFO  gauge_mc_runner] Warmup 20/128
[2024-02-27T11:43:31Z INFO  gauge_mc_runner] Warmup 30/128
[2024-02-27T11:44:46Z INFO  gauge_mc_runner] Warmup 40/128
[2024-02-27T11:46:00Z INFO  gauge_mc_runner] Warmup 50/128
[2024-02-27T11:47:15Z INFO  gauge_mc_runner] Warmup 60/128
[2024-02-27T11:48:30Z INFO  gauge_mc_runner] Warmup 70/128
[2024-02-27T11:49:45Z INFO  gauge_mc_runner] Warmup 80/128
[2024-02-27T11:50:59Z INFO  gauge_mc_runner] Warmup 90/128
[2024-02-27T11:52:14Z INFO  gauge_mc_runner] Warmup 100/128
[2024-02-27T11:53:29Z INFO  gauge_mc_runner] Warmup 110/128
[2024-02-27T11:54:44Z INFO  gauge_mc_runner] Warmup 120/128
[2024-02-27T11:55:44Z INFO  gauge_mc_runner] Done!
[2024-02-27T11:55:44Z INFO  gauge_mc_runner] Sampling 0/1024
[2024-02-27T11:56:59Z INFO  gauge_mc_runner] Sampling 10/1024
[2024-02-27T11:58:13Z INFO  gauge_mc_runner] Sampling 20/1024
[2024-02-27T11:59:28Z INFO  gauge_mc_runner] Sampling 30/1024
[2024-02-27T12:00:43Z INFO  gauge_mc_runner] Sampling 40/1024
[2024-02-27T12:01:58Z INFO  gauge_mc_runner] Sampling 50/1024
[2024-02-27T12:03:13Z INFO  gauge_mc_runner] Sampling 60/1024
[2024-02-27T12:04:27Z INFO  gauge_mc_runner] Sampling 70/1024
[2024-02-27T12:05:42Z INFO  gauge_mc_runner] Sampling 80/1024
