    Finished release [optimized] target(s) in 0.05s
     Running `target/release/gauge_mc_runner --klow 0.64 --khigh 0.89 --potential-type binary -r 64 -N 1024 -w 128 -L 20 -s 32 --config-output /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=20/out-k064-k089.yaml --output-winding -o /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=20/out-k064-k089.npz`
[2024-02-27T04:27:56Z INFO  gauge_mc_runner] Warmup 0/128
[2024-02-27T04:29:11Z INFO  gauge_mc_runner] Warmup 10/128
[2024-02-27T04:30:27Z INFO  gauge_mc_runner] Warmup 20/128
[2024-02-27T04:31:42Z INFO  gauge_mc_runner] Warmup 30/128
[2024-02-27T04:32:57Z INFO  gauge_mc_runner] Warmup 40/128
[2024-02-27T04:34:13Z INFO  gauge_mc_runner] Warmup 50/128
[2024-02-27T04:35:28Z INFO  gauge_mc_runner] Warmup 60/128
[2024-02-27T04:36:43Z INFO  gauge_mc_runner] Warmup 70/128
[2024-02-27T04:37:59Z INFO  gauge_mc_runner] Warmup 80/128
[2024-02-27T04:39:14Z INFO  gauge_mc_runner] Warmup 90/128
[2024-02-27T04:40:29Z INFO  gauge_mc_runner] Warmup 100/128
[2024-02-27T04:41:44Z INFO  gauge_mc_runner] Warmup 110/128
[2024-02-27T04:43:00Z INFO  gauge_mc_runner] Warmup 120/128
[2024-02-27T04:44:00Z INFO  gauge_mc_runner] Done!
[2024-02-27T04:44:00Z INFO  gauge_mc_runner] Sampling 0/1024
[2024-02-27T04:45:15Z INFO  gauge_mc_runner] Sampling 10/1024
[2024-02-27T04:46:30Z INFO  gauge_mc_runner] Sampling 20/1024
[2024-02-27T04:47:45Z INFO  gauge_mc_runner] Sampling 30/1024
[2024-02-27T04:49:00Z INFO  gauge_mc_runner] Sampling 40/1024
[2024-02-27T04:50:16Z INFO  gauge_mc_runner] Sampling 50/1024
[2024-02-27T04:51:31Z INFO  gauge_mc_runner] Sampling 60/1024
[2024-02-27T04:52:46Z INFO  gauge_mc_runner] Sampling 70/1024
[2024-02-27T04:54:01Z INFO  gauge_mc_runner] Sampling 80/1024
[2024-02-27T04:55:16Z INFO  gauge_mc_runner] Sampling 90/1024
[2024-02-27T04:56:32Z INFO  gauge_mc_runner] Sampling 100/1024
[2024-02-27T04:57:47Z INFO  gauge_mc_runner] Sampling 110/1024
[2024-02-27T04:59:02Z INFO  gauge_mc_runner] Sampling 120/1024
[2024-02-27T05:00:17Z INFO  gauge_mc_runner] Sampling 130/1024
[2024-02-27T05:01:32Z INFO  gauge_mc_runner] Sampling 140/1024
[2024-02-27T05:02:47Z INFO  gauge_mc_runner] Sampling 150/1024
[2024-02-27T05:04:02Z INFO  gauge_mc_runner] Sampling 160/1024
[2024-02-27T05:05:17Z INFO  gauge_mc_runner] Sampling 170/1024
[2024-02-27T05:06:32Z INFO  gauge_mc_runner] Sampling 180/1024
[2024-02-27T05:07:47Z INFO  gauge_mc_runner] Sampling 190/1024
[2024-02-27T05:09:03Z INFO  gauge_mc_runner] Sampling 200/1024
[2024-02-27T05:10:18Z INFO  gauge_mc_runner] Sampling 210/1024
[2024-02-27T05:11:33Z INFO  gauge_mc_runner] Sampling 220/1024
[2024-02-27T05:12:48Z INFO  gauge_mc_runner] Sampling 230/1024
[2024-02-27T05:14:03Z INFO  gauge_mc_runner] Sampling 240/1024
[2024-02-27T05:15:18Z INFO  gauge_mc_runner] Sampling 250/1024
[2024-02-27T05:16:33Z INFO  gauge_mc_runner] Sampling 260/1024
[2024-02-27T05:17:49Z INFO  gauge_mc_runner] Sampling 270/1024
[2024-02-27T05:19:04Z INFO  gauge_mc_runner] Sampling 280/1024
[2024-02-27T05:20:19Z INFO  gauge_mc_runner] Sampling 290/1024
[2024-02-27T05:21:34Z INFO  gauge_mc_runner] Sampling 300/1024
[2024-02-27T05:22:50Z INFO  gauge_mc_runner] Sampling 310/1024
[2024-02-27T05:24:05Z INFO  gauge_mc_runner] Sampling 320/1024
[2024-02-27T05:25:20Z INFO  gauge_mc_runner] Sampling 330/1024
[2024-02-27T05:26:35Z INFO  gauge_mc_runner] Sampling 340/1024
[2024-02-27T05:27:50Z INFO  gauge_mc_runner] Sampling 350/1024
[2024-02-27T05:29:06Z INFO  gauge_mc_runner] Sampling 360/1024
[2024-02-27T05:30:21Z INFO  gauge_mc_runner] Sampling 370/1024
[2024-02-27T05:31:36Z INFO  gauge_mc_runner] Sampling 380/1024
[2024-02-27T05:32:51Z INFO  gauge_mc_runner] Sampling 390/1024
[2024-02-27T05:34:06Z INFO  gauge_mc_runner] Sampling 400/1024
[2024-02-27T05:35:21Z INFO  gauge_mc_runner] Sampling 410/1024
[2024-02-27T05:36:37Z INFO  gauge_mc_runner] Sampling 420/1024
[2024-02-27T05:37:52Z INFO  gauge_mc_runner] Sampling 430/1024
[2024-02-27T05:39:07Z INFO  gauge_mc_runner] Sampling 440/1024
