    Finished release [optimized] target(s) in 0.05s
     Running `target/release/gauge_mc_runner --klow 0.7578 --khigh 0.7733 --potential-type binary -r 64 -N 1024 -w 128 -L 20 -s 32 --config-output /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=20/out-k07578-k07733.yaml --output-winding -o /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=20/out-k07578-k07733.npz`
[2024-02-27T09:16:07Z INFO  gauge_mc_runner] Warmup 0/128
[2024-02-27T09:17:22Z INFO  gauge_mc_runner] Warmup 10/128
[2024-02-27T09:18:36Z INFO  gauge_mc_runner] Warmup 20/128
[2024-02-27T09:19:51Z INFO  gauge_mc_runner] Warmup 30/128
[2024-02-27T09:21:06Z INFO  gauge_mc_runner] Warmup 40/128
[2024-02-27T09:22:21Z INFO  gauge_mc_runner] Warmup 50/128
[2024-02-27T09:23:36Z INFO  gauge_mc_runner] Warmup 60/128
[2024-02-27T09:24:50Z INFO  gauge_mc_runner] Warmup 70/128
[2024-02-27T09:26:05Z INFO  gauge_mc_runner] Warmup 80/128
[2024-02-27T09:27:20Z INFO  gauge_mc_runner] Warmup 90/128
[2024-02-27T09:28:35Z INFO  gauge_mc_runner] Warmup 100/128
[2024-02-27T09:29:50Z INFO  gauge_mc_runner] Warmup 110/128
[2024-02-27T09:31:05Z INFO  gauge_mc_runner] Warmup 120/128
[2024-02-27T09:32:04Z INFO  gauge_mc_runner] Done!
[2024-02-27T09:32:04Z INFO  gauge_mc_runner] Sampling 0/1024
[2024-02-27T09:33:20Z INFO  gauge_mc_runner] Sampling 10/1024
[2024-02-27T09:34:34Z INFO  gauge_mc_runner] Sampling 20/1024
[2024-02-27T09:35:49Z INFO  gauge_mc_runner] Sampling 30/1024
[2024-02-27T09:37:04Z INFO  gauge_mc_runner] Sampling 40/1024
[2024-02-27T09:38:19Z INFO  gauge_mc_runner] Sampling 50/1024
[2024-02-27T09:39:34Z INFO  gauge_mc_runner] Sampling 60/1024
[2024-02-27T09:40:49Z INFO  gauge_mc_runner] Sampling 70/1024
[2024-02-27T09:42:04Z INFO  gauge_mc_runner] Sampling 80/1024
[2024-02-27T09:43:18Z INFO  gauge_mc_runner] Sampling 90/1024
