    Finished release [optimized] target(s) in 0.05s
     Running `target/release/gauge_mc_runner --klow 0.7608 --khigh 0.7763 --potential-type binary -r 64 -N 1024 -w 128 -L 8 -s 32 --config-output /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=8/out-k07608-k07763.yaml --output-winding -o /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=8/out-k07608-k07763.npz`
[2024-02-26T19:19:32Z INFO  gauge_mc_runner] Warmup 0/128
[2024-02-26T19:19:33Z INFO  gauge_mc_runner] Warmup 10/128
[2024-02-26T19:19:35Z INFO  gauge_mc_runner] Warmup 20/128
[2024-02-26T19:19:37Z INFO  gauge_mc_runner] Warmup 30/128
[2024-02-26T19:19:39Z INFO  gauge_mc_runner] Warmup 40/128
[2024-02-26T19:19:41Z INFO  gauge_mc_runner] Warmup 50/128
[2024-02-26T19:19:43Z INFO  gauge_mc_runner] Warmup 60/128
[2024-02-26T19:19:45Z INFO  gauge_mc_runner] Warmup 70/128
[2024-02-26T19:19:47Z INFO  gauge_mc_runner] Warmup 80/128
[2024-02-26T19:19:48Z INFO  gauge_mc_runner] Warmup 90/128
[2024-02-26T19:19:50Z INFO  gauge_mc_runner] Warmup 100/128
[2024-02-26T19:19:52Z INFO  gauge_mc_runner] Warmup 110/128
[2024-02-26T19:19:54Z INFO  gauge_mc_runner] Warmup 120/128
[2024-02-26T19:19:56Z INFO  gauge_mc_runner] Done!
[2024-02-26T19:19:56Z INFO  gauge_mc_runner] Sampling 0/1024
[2024-02-26T19:19:57Z INFO  gauge_mc_runner] Sampling 10/1024
[2024-02-26T19:19:59Z INFO  gauge_mc_runner] Sampling 20/1024
[2024-02-26T19:20:01Z INFO  gauge_mc_runner] Sampling 30/1024
[2024-02-26T19:20:03Z INFO  gauge_mc_runner] Sampling 40/1024
[2024-02-26T19:20:05Z INFO  gauge_mc_runner] Sampling 50/1024
[2024-02-26T19:20:07Z INFO  gauge_mc_runner] Sampling 60/1024
[2024-02-26T19:20:09Z INFO  gauge_mc_runner] Sampling 70/1024
[2024-02-26T19:20:11Z INFO  gauge_mc_runner] Sampling 80/1024
[2024-02-26T19:20:12Z INFO  gauge_mc_runner] Sampling 90/1024
[2024-02-26T19:20:14Z INFO  gauge_mc_runner] Sampling 100/1024
[2024-02-26T19:20:16Z INFO  gauge_mc_runner] Sampling 110/1024
[2024-02-26T19:20:18Z INFO  gauge_mc_runner] Sampling 120/1024
[2024-02-26T19:20:20Z INFO  gauge_mc_runner] Sampling 130/1024
[2024-02-26T19:20:22Z INFO  gauge_mc_runner] Sampling 140/1024
[2024-02-26T19:20:24Z INFO  gauge_mc_runner] Sampling 150/1024
[2024-02-26T19:20:26Z INFO  gauge_mc_runner] Sampling 160/1024
[2024-02-26T19:20:27Z INFO  gauge_mc_runner] Sampling 170/1024
[2024-02-26T19:20:29Z INFO  gauge_mc_runner] Sampling 180/1024
[2024-02-26T19:20:31Z INFO  gauge_mc_runner] Sampling 190/1024
[2024-02-26T19:20:33Z INFO  gauge_mc_runner] Sampling 200/1024
[2024-02-26T19:20:35Z INFO  gauge_mc_runner] Sampling 210/1024
[2024-02-26T19:20:37Z INFO  gauge_mc_runner] Sampling 220/1024
[2024-02-26T19:20:39Z INFO  gauge_mc_runner] Sampling 230/1024
[2024-02-26T19:20:41Z INFO  gauge_mc_runner] Sampling 240/1024
[2024-02-26T19:20:42Z INFO  gauge_mc_runner] Sampling 250/1024
[2024-02-26T19:20:44Z INFO  gauge_mc_runner] Sampling 260/1024
[2024-02-26T19:20:46Z INFO  gauge_mc_runner] Sampling 270/1024
[2024-02-26T19:20:48Z INFO  gauge_mc_runner] Sampling 280/1024
[2024-02-26T19:20:50Z INFO  gauge_mc_runner] Sampling 290/1024
[2024-02-26T19:20:52Z INFO  gauge_mc_runner] Sampling 300/1024
[2024-02-26T19:20:54Z INFO  gauge_mc_runner] Sampling 310/1024
[2024-02-26T19:20:56Z INFO  gauge_mc_runner] Sampling 320/1024
[2024-02-26T19:20:57Z INFO  gauge_mc_runner] Sampling 330/1024
[2024-02-26T19:20:59Z INFO  gauge_mc_runner] Sampling 340/1024
[2024-02-26T19:21:01Z INFO  gauge_mc_runner] Sampling 350/1024
[2024-02-26T19:21:03Z INFO  gauge_mc_runner] Sampling 360/1024
[2024-02-26T19:21:05Z INFO  gauge_mc_runner] Sampling 370/1024
[2024-02-26T19:21:07Z INFO  gauge_mc_runner] Sampling 380/1024
[2024-02-26T19:21:09Z INFO  gauge_mc_runner] Sampling 390/1024
[2024-02-26T19:21:11Z INFO  gauge_mc_runner] Sampling 400/1024
[2024-02-26T19:21:12Z INFO  gauge_mc_runner] Sampling 410/1024
[2024-02-26T19:21:14Z INFO  gauge_mc_runner] Sampling 420/1024
[2024-02-26T19:21:16Z INFO  gauge_mc_runner] Sampling 430/1024
[2024-02-26T19:21:18Z INFO  gauge_mc_runner] Sampling 440/1024
[2024-02-26T19:21:20Z INFO  gauge_mc_runner] Sampling 450/1024
[2024-02-26T19:21:22Z INFO  gauge_mc_runner] Sampling 460/1024
[2024-02-26T19:21:24Z INFO  gauge_mc_runner] Sampling 470/1024
[2024-02-26T19:21:26Z INFO  gauge_mc_runner] Sampling 480/1024
[2024-02-26T19:21:27Z INFO  gauge_mc_runner] Sampling 490/1024
[2024-02-26T19:21:29Z INFO  gauge_mc_runner] Sampling 500/1024
[2024-02-26T19:21:31Z INFO  gauge_mc_runner] Sampling 510/1024
[2024-02-26T19:21:33Z INFO  gauge_mc_runner] Sampling 520/1024
[2024-02-26T19:21:35Z INFO  gauge_mc_runner] Sampling 530/1024
