    Finished release [optimized] target(s) in 0.05s
     Running `target/release/gauge_mc_runner --klow 0.64 --khigh 0.89 --potential-type binary -r 64 -N 1024 -w 128 -L 8 -s 32 --config-output /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=8/out-k064-k089.yaml --output-winding -o /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=8/out-k064-k089.npz`
[2024-02-26T19:12:18Z INFO  gauge_mc_runner] Warmup 0/128
[2024-02-26T19:12:20Z INFO  gauge_mc_runner] Warmup 10/128
[2024-02-26T19:12:22Z INFO  gauge_mc_runner] Warmup 20/128
[2024-02-26T19:12:24Z INFO  gauge_mc_runner] Warmup 30/128
[2024-02-26T19:12:26Z INFO  gauge_mc_runner] Warmup 40/128
[2024-02-26T19:12:27Z INFO  gauge_mc_runner] Warmup 50/128
[2024-02-26T19:12:29Z INFO  gauge_mc_runner] Warmup 60/128
[2024-02-26T19:12:31Z INFO  gauge_mc_runner] Warmup 70/128
[2024-02-26T19:12:33Z INFO  gauge_mc_runner] Warmup 80/128
[2024-02-26T19:12:35Z INFO  gauge_mc_runner] Warmup 90/128
[2024-02-26T19:12:37Z INFO  gauge_mc_runner] Warmup 100/128
[2024-02-26T19:12:39Z INFO  gauge_mc_runner] Warmup 110/128
[2024-02-26T19:12:41Z INFO  gauge_mc_runner] Warmup 120/128
[2024-02-26T19:12:42Z INFO  gauge_mc_runner] Done!
[2024-02-26T19:12:42Z INFO  gauge_mc_runner] Sampling 0/1024
[2024-02-26T19:12:44Z INFO  gauge_mc_runner] Sampling 10/1024
[2024-02-26T19:12:46Z INFO  gauge_mc_runner] Sampling 20/1024
[2024-02-26T19:12:48Z INFO  gauge_mc_runner] Sampling 30/1024
[2024-02-26T19:12:50Z INFO  gauge_mc_runner] Sampling 40/1024
[2024-02-26T19:12:51Z INFO  gauge_mc_runner] Sampling 50/1024
[2024-02-26T19:12:53Z INFO  gauge_mc_runner] Sampling 60/1024
[2024-02-26T19:12:55Z INFO  gauge_mc_runner] Sampling 70/1024
[2024-02-26T19:12:57Z INFO  gauge_mc_runner] Sampling 80/1024
[2024-02-26T19:12:59Z INFO  gauge_mc_runner] Sampling 90/1024
[2024-02-26T19:13:01Z INFO  gauge_mc_runner] Sampling 100/1024
[2024-02-26T19:13:03Z INFO  gauge_mc_runner] Sampling 110/1024
[2024-02-26T19:13:05Z INFO  gauge_mc_runner] Sampling 120/1024
[2024-02-26T19:13:06Z INFO  gauge_mc_runner] Sampling 130/1024
[2024-02-26T19:13:08Z INFO  gauge_mc_runner] Sampling 140/1024
[2024-02-26T19:13:10Z INFO  gauge_mc_runner] Sampling 150/1024
[2024-02-26T19:13:12Z INFO  gauge_mc_runner] Sampling 160/1024
[2024-02-26T19:13:14Z INFO  gauge_mc_runner] Sampling 170/1024
[2024-02-26T19:13:16Z INFO  gauge_mc_runner] Sampling 180/1024
[2024-02-26T19:13:18Z INFO  gauge_mc_runner] Sampling 190/1024
[2024-02-26T19:13:20Z INFO  gauge_mc_runner] Sampling 200/1024
[2024-02-26T19:13:21Z INFO  gauge_mc_runner] Sampling 210/1024
[2024-02-26T19:13:23Z INFO  gauge_mc_runner] Sampling 220/1024
[2024-02-26T19:13:25Z INFO  gauge_mc_runner] Sampling 230/1024
[2024-02-26T19:13:27Z INFO  gauge_mc_runner] Sampling 240/1024
[2024-02-26T19:13:29Z INFO  gauge_mc_runner] Sampling 250/1024
[2024-02-26T19:13:31Z INFO  gauge_mc_runner] Sampling 260/1024
[2024-02-26T19:13:33Z INFO  gauge_mc_runner] Sampling 270/1024
[2024-02-26T19:13:35Z INFO  gauge_mc_runner] Sampling 280/1024
[2024-02-26T19:13:36Z INFO  gauge_mc_runner] Sampling 290/1024
[2024-02-26T19:13:38Z INFO  gauge_mc_runner] Sampling 300/1024
[2024-02-26T19:13:40Z INFO  gauge_mc_runner] Sampling 310/1024
[2024-02-26T19:13:42Z INFO  gauge_mc_runner] Sampling 320/1024
[2024-02-26T19:13:44Z INFO  gauge_mc_runner] Sampling 330/1024
[2024-02-26T19:13:46Z INFO  gauge_mc_runner] Sampling 340/1024
[2024-02-26T19:13:48Z INFO  gauge_mc_runner] Sampling 350/1024
[2024-02-26T19:13:50Z INFO  gauge_mc_runner] Sampling 360/1024
[2024-02-26T19:13:51Z INFO  gauge_mc_runner] Sampling 370/1024
[2024-02-26T19:13:53Z INFO  gauge_mc_runner] Sampling 380/1024
[2024-02-26T19:13:55Z INFO  gauge_mc_runner] Sampling 390/1024
[2024-02-26T19:13:57Z INFO  gauge_mc_runner] Sampling 400/1024
[2024-02-26T19:13:59Z INFO  gauge_mc_runner] Sampling 410/1024
[2024-02-26T19:14:01Z INFO  gauge_mc_runner] Sampling 420/1024
[2024-02-26T19:14:03Z INFO  gauge_mc_runner] Sampling 430/1024
[2024-02-26T19:14:05Z INFO  gauge_mc_runner] Sampling 440/1024
[2024-02-26T19:14:07Z INFO  gauge_mc_runner] Sampling 450/1024
[2024-02-26T19:14:08Z INFO  gauge_mc_runner] Sampling 460/1024
[2024-02-26T19:14:10Z INFO  gauge_mc_runner] Sampling 470/1024
[2024-02-26T19:14:12Z INFO  gauge_mc_runner] Sampling 480/1024
[2024-02-26T19:14:14Z INFO  gauge_mc_runner] Sampling 490/1024
[2024-02-26T19:14:16Z INFO  gauge_mc_runner] Sampling 500/1024
[2024-02-26T19:14:18Z INFO  gauge_mc_runner] Sampling 510/1024
[2024-02-26T19:14:20Z INFO  gauge_mc_runner] Sampling 520/1024
[2024-02-26T19:14:22Z INFO  gauge_mc_runner] Sampling 530/1024
[2024-02-26T19:14:23Z INFO  gauge_mc_runner] Sampling 540/1024
[2024-02-26T19:14:25Z INFO  gauge_mc_runner] Sampling 550/1024
[2024-02-26T19:14:27Z INFO  gauge_mc_runner] Sampling 560/1024
[2024-02-26T19:14:29Z INFO  gauge_mc_runner] Sampling 570/1024
[2024-02-26T19:14:31Z INFO  gauge_mc_runner] Sampling 580/1024
[2024-02-26T19:14:33Z INFO  gauge_mc_runner] Sampling 590/1024
[2024-02-26T19:14:35Z INFO  gauge_mc_runner] Sampling 600/1024
[2024-02-26T19:14:37Z INFO  gauge_mc_runner] Sampling 610/1024
[2024-02-26T19:14:38Z INFO  gauge_mc_runner] Sampling 620/1024
[2024-02-26T19:14:40Z INFO  gauge_mc_runner] Sampling 630/1024
[2024-02-26T19:14:42Z INFO  gauge_mc_runner] Sampling 640/1024
[2024-02-26T19:14:44Z INFO  gauge_mc_runner] Sampling 650/1024
[2024-02-26T19:14:46Z INFO  gauge_mc_runner] Sampling 660/1024
[2024-02-26T19:14:48Z INFO  gauge_mc_runner] Sampling 670/1024
[2024-02-26T19:14:50Z INFO  gauge_mc_runner] Sampling 680/1024
[2024-02-26T19:14:52Z INFO  gauge_mc_runner] Sampling 690/1024
[2024-02-26T19:14:54Z INFO  gauge_mc_runner] Sampling 700/1024
[2024-02-26T19:14:55Z INFO  gauge_mc_runner] Sampling 710/1024
[2024-02-26T19:14:57Z INFO  gauge_mc_runner] Sampling 720/1024
[2024-02-26T19:14:59Z INFO  gauge_mc_runner] Sampling 730/1024
[2024-02-26T19:15:01Z INFO  gauge_mc_runner] Sampling 740/1024
[2024-02-26T19:15:03Z INFO  gauge_mc_runner] Sampling 750/1024
[2024-02-26T19:15:05Z INFO  gauge_mc_runner] Sampling 760/1024
[2024-02-26T19:15:07Z INFO  gauge_mc_runner] Sampling 770/1024
[2024-02-26T19:15:09Z INFO  gauge_mc_runner] Sampling 780/1024
[2024-02-26T19:15:10Z INFO  gauge_mc_runner] Sampling 790/1024
