    Finished release [optimized] target(s) in 0.05s
     Running `target/release/gauge_mc_runner --klow 0.5 --khigh 1.5 --potential-type binary -r 64 -N 1024 -w 128 -L 8 -s 32 --config-output /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=8/out-k05-k15.yaml --output-winding -o /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=8/out-k05-k15.npz`
[2024-02-26T19:08:41Z INFO  gauge_mc_runner] Warmup 0/128
[2024-02-26T19:08:43Z INFO  gauge_mc_runner] Warmup 10/128
[2024-02-26T19:08:44Z INFO  gauge_mc_runner] Warmup 20/128
[2024-02-26T19:08:46Z INFO  gauge_mc_runner] Warmup 30/128
[2024-02-26T19:08:48Z INFO  gauge_mc_runner] Warmup 40/128
[2024-02-26T19:08:50Z INFO  gauge_mc_runner] Warmup 50/128
[2024-02-26T19:08:52Z INFO  gauge_mc_runner] Warmup 60/128
[2024-02-26T19:08:54Z INFO  gauge_mc_runner] Warmup 70/128
[2024-02-26T19:08:56Z INFO  gauge_mc_runner] Warmup 80/128
[2024-02-26T19:08:58Z INFO  gauge_mc_runner] Warmup 90/128
[2024-02-26T19:09:00Z INFO  gauge_mc_runner] Warmup 100/128
[2024-02-26T19:09:01Z INFO  gauge_mc_runner] Warmup 110/128
[2024-02-26T19:09:03Z INFO  gauge_mc_runner] Warmup 120/128
[2024-02-26T19:09:05Z INFO  gauge_mc_runner] Done!
[2024-02-26T19:09:05Z INFO  gauge_mc_runner] Sampling 0/1024
[2024-02-26T19:09:07Z INFO  gauge_mc_runner] Sampling 10/1024
[2024-02-26T19:09:09Z INFO  gauge_mc_runner] Sampling 20/1024
[2024-02-26T19:09:10Z INFO  gauge_mc_runner] Sampling 30/1024
[2024-02-26T19:09:12Z INFO  gauge_mc_runner] Sampling 40/1024
[2024-02-26T19:09:14Z INFO  gauge_mc_runner] Sampling 50/1024
[2024-02-26T19:09:16Z INFO  gauge_mc_runner] Sampling 60/1024
[2024-02-26T19:09:18Z INFO  gauge_mc_runner] Sampling 70/1024
[2024-02-26T19:09:20Z INFO  gauge_mc_runner] Sampling 80/1024
[2024-02-26T19:09:22Z INFO  gauge_mc_runner] Sampling 90/1024
[2024-02-26T19:09:24Z INFO  gauge_mc_runner] Sampling 100/1024
[2024-02-26T19:09:26Z INFO  gauge_mc_runner] Sampling 110/1024
[2024-02-26T19:09:27Z INFO  gauge_mc_runner] Sampling 120/1024
[2024-02-26T19:09:29Z INFO  gauge_mc_runner] Sampling 130/1024
[2024-02-26T19:09:31Z INFO  gauge_mc_runner] Sampling 140/1024
[2024-02-26T19:09:33Z INFO  gauge_mc_runner] Sampling 150/1024
[2024-02-26T19:09:35Z INFO  gauge_mc_runner] Sampling 160/1024
[2024-02-26T19:09:37Z INFO  gauge_mc_runner] Sampling 170/1024
[2024-02-26T19:09:39Z INFO  gauge_mc_runner] Sampling 180/1024
[2024-02-26T19:09:41Z INFO  gauge_mc_runner] Sampling 190/1024
[2024-02-26T19:09:43Z INFO  gauge_mc_runner] Sampling 200/1024
[2024-02-26T19:09:44Z INFO  gauge_mc_runner] Sampling 210/1024
[2024-02-26T19:09:46Z INFO  gauge_mc_runner] Sampling 220/1024
[2024-02-26T19:09:48Z INFO  gauge_mc_runner] Sampling 230/1024
[2024-02-26T19:09:50Z INFO  gauge_mc_runner] Sampling 240/1024
[2024-02-26T19:09:52Z INFO  gauge_mc_runner] Sampling 250/1024
[2024-02-26T19:09:54Z INFO  gauge_mc_runner] Sampling 260/1024
[2024-02-26T19:09:56Z INFO  gauge_mc_runner] Sampling 270/1024
[2024-02-26T19:09:58Z INFO  gauge_mc_runner] Sampling 280/1024
[2024-02-26T19:09:59Z INFO  gauge_mc_runner] Sampling 290/1024
[2024-02-26T19:10:01Z INFO  gauge_mc_runner] Sampling 300/1024
[2024-02-26T19:10:03Z INFO  gauge_mc_runner] Sampling 310/1024
[2024-02-26T19:10:05Z INFO  gauge_mc_runner] Sampling 320/1024
[2024-02-26T19:10:07Z INFO  gauge_mc_runner] Sampling 330/1024
[2024-02-26T19:10:09Z INFO  gauge_mc_runner] Sampling 340/1024
[2024-02-26T19:10:11Z INFO  gauge_mc_runner] Sampling 350/1024
[2024-02-26T19:10:13Z INFO  gauge_mc_runner] Sampling 360/1024
[2024-02-26T19:10:15Z INFO  gauge_mc_runner] Sampling 370/1024
[2024-02-26T19:10:16Z INFO  gauge_mc_runner] Sampling 380/1024
[2024-02-26T19:10:18Z INFO  gauge_mc_runner] Sampling 390/1024
[2024-02-26T19:10:20Z INFO  gauge_mc_runner] Sampling 400/1024
[2024-02-26T19:10:22Z INFO  gauge_mc_runner] Sampling 410/1024
[2024-02-26T19:10:24Z INFO  gauge_mc_runner] Sampling 420/1024
[2024-02-26T19:10:26Z INFO  gauge_mc_runner] Sampling 430/1024
[2024-02-26T19:10:28Z INFO  gauge_mc_runner] Sampling 440/1024
[2024-02-26T19:10:30Z INFO  gauge_mc_runner] Sampling 450/1024
[2024-02-26T19:10:32Z INFO  gauge_mc_runner] Sampling 460/1024
[2024-02-26T19:10:33Z INFO  gauge_mc_runner] Sampling 470/1024
[2024-02-26T19:10:35Z INFO  gauge_mc_runner] Sampling 480/1024
[2024-02-26T19:10:37Z INFO  gauge_mc_runner] Sampling 490/1024
[2024-02-26T19:10:39Z INFO  gauge_mc_runner] Sampling 500/1024
[2024-02-26T19:10:41Z INFO  gauge_mc_runner] Sampling 510/1024
[2024-02-26T19:10:43Z INFO  gauge_mc_runner] Sampling 520/1024
[2024-02-26T19:10:45Z INFO  gauge_mc_runner] Sampling 530/1024
[2024-02-26T19:10:47Z INFO  gauge_mc_runner] Sampling 540/1024
[2024-02-26T19:10:48Z INFO  gauge_mc_runner] Sampling 550/1024
[2024-02-26T19:10:50Z INFO  gauge_mc_runner] Sampling 560/1024
[2024-02-26T19:10:52Z INFO  gauge_mc_runner] Sampling 570/1024
[2024-02-26T19:10:54Z INFO  gauge_mc_runner] Sampling 580/1024
[2024-02-26T19:10:56Z INFO  gauge_mc_runner] Sampling 590/1024
[2024-02-26T19:10:58Z INFO  gauge_mc_runner] Sampling 600/1024
[2024-02-26T19:11:00Z INFO  gauge_mc_runner] Sampling 610/1024
[2024-02-26T19:11:02Z INFO  gauge_mc_runner] Sampling 620/1024
[2024-02-26T19:11:03Z INFO  gauge_mc_runner] Sampling 630/1024
[2024-02-26T19:11:05Z INFO  gauge_mc_runner] Sampling 640/1024
[2024-02-26T19:11:07Z INFO  gauge_mc_runner] Sampling 650/1024
[2024-02-26T19:11:09Z INFO  gauge_mc_runner] Sampling 660/1024
[2024-02-26T19:11:11Z INFO  gauge_mc_runner] Sampling 670/1024
[2024-02-26T19:11:13Z INFO  gauge_mc_runner] Sampling 680/1024
[2024-02-26T19:11:15Z INFO  gauge_mc_runner] Sampling 690/1024
[2024-02-26T19:11:17Z INFO  gauge_mc_runner] Sampling 700/1024
[2024-02-26T19:11:18Z INFO  gauge_mc_runner] Sampling 710/1024
[2024-02-26T19:11:20Z INFO  gauge_mc_runner] Sampling 720/1024
[2024-02-26T19:11:22Z INFO  gauge_mc_runner] Sampling 730/1024
[2024-02-26T19:11:24Z INFO  gauge_mc_runner] Sampling 740/1024
[2024-02-26T19:11:26Z INFO  gauge_mc_runner] Sampling 750/1024
[2024-02-26T19:11:28Z INFO  gauge_mc_runner] Sampling 760/1024
[2024-02-26T19:11:30Z INFO  gauge_mc_runner] Sampling 770/1024
[2024-02-26T19:11:32Z INFO  gauge_mc_runner] Sampling 780/1024
[2024-02-26T19:11:34Z INFO  gauge_mc_runner] Sampling 790/1024
[2024-02-26T19:11:35Z INFO  gauge_mc_runner] Sampling 800/1024
[2024-02-26T19:11:37Z INFO  gauge_mc_runner] Sampling 810/1024
[2024-02-26T19:11:39Z INFO  gauge_mc_runner] Sampling 820/1024
[2024-02-26T19:11:41Z INFO  gauge_mc_runner] Sampling 830/1024
[2024-02-26T19:11:43Z INFO  gauge_mc_runner] Sampling 840/1024
[2024-02-26T19:11:45Z INFO  gauge_mc_runner] Sampling 850/1024
[2024-02-26T19:11:47Z INFO  gauge_mc_runner] Sampling 860/1024
[2024-02-26T19:11:49Z INFO  gauge_mc_runner] Sampling 870/1024
[2024-02-26T19:11:50Z INFO  gauge_mc_runner] Sampling 880/1024
[2024-02-26T19:11:52Z INFO  gauge_mc_runner] Sampling 890/1024
[2024-02-26T19:11:54Z INFO  gauge_mc_runner] Sampling 900/1024
[2024-02-26T19:11:56Z INFO  gauge_mc_runner] Sampling 910/1024
[2024-02-26T19:11:58Z INFO  gauge_mc_runner] Sampling 920/1024
[2024-02-26T19:12:00Z INFO  gauge_mc_runner] Sampling 930/1024
[2024-02-26T19:12:02Z INFO  gauge_mc_runner] Sampling 940/1024
[2024-02-26T19:12:04Z INFO  gauge_mc_runner] Sampling 950/1024
[2024-02-26T19:12:06Z INFO  gauge_mc_runner] Sampling 960/1024
[2024-02-26T19:12:07Z INFO  gauge_mc_runner] Sampling 970/1024
[2024-02-26T19:12:09Z INFO  gauge_mc_runner] Sampling 980/1024
[2024-02-26T19:12:11Z INFO  gauge_mc_runner] Sampling 990/1024
[2024-02-26T19:12:13Z INFO  gauge_mc_runner] Sampling 1000/1024
[2024-02-26T19:12:15Z INFO  gauge_mc_runner] Sampling 1010/1024
[2024-02-26T19:12:17Z INFO  gauge_mc_runner] Sampling 1020/1024
[2024-02-26T19:12:18Z INFO  gauge_mc_runner] Done!
