    Finished release [optimized] target(s) in 0.05s
     Running `target/release/gauge_mc_runner --klow 0.64 --khigh 0.89 --potential-type binary -r 64 -N 1024 -w 128 -L 12 -s 32 --config-output /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=12/out-k064-k089.yaml --output-winding -o /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=12/out-k064-k089.npz`
[2024-02-26T20:22:53Z INFO  gauge_mc_runner] Warmup 0/128
[2024-02-26T20:23:02Z INFO  gauge_mc_runner] Warmup 10/128
[2024-02-26T20:23:10Z INFO  gauge_mc_runner] Warmup 20/128
[2024-02-26T20:23:19Z INFO  gauge_mc_runner] Warmup 30/128
[2024-02-26T20:23:27Z INFO  gauge_mc_runner] Warmup 40/128
[2024-02-26T20:23:35Z INFO  gauge_mc_runner] Warmup 50/128
[2024-02-26T20:23:44Z INFO  gauge_mc_runner] Warmup 60/128
[2024-02-26T20:23:52Z INFO  gauge_mc_runner] Warmup 70/128
[2024-02-26T20:24:00Z INFO  gauge_mc_runner] Warmup 80/128
[2024-02-26T20:24:09Z INFO  gauge_mc_runner] Warmup 90/128
[2024-02-26T20:24:17Z INFO  gauge_mc_runner] Warmup 100/128
[2024-02-26T20:24:25Z INFO  gauge_mc_runner] Warmup 110/128
[2024-02-26T20:24:34Z INFO  gauge_mc_runner] Warmup 120/128
[2024-02-26T20:24:40Z INFO  gauge_mc_runner] Done!
[2024-02-26T20:24:40Z INFO  gauge_mc_runner] Sampling 0/1024
[2024-02-26T20:24:49Z INFO  gauge_mc_runner] Sampling 10/1024
[2024-02-26T20:24:57Z INFO  gauge_mc_runner] Sampling 20/1024
[2024-02-26T20:25:05Z INFO  gauge_mc_runner] Sampling 30/1024
[2024-02-26T20:25:14Z INFO  gauge_mc_runner] Sampling 40/1024
[2024-02-26T20:25:22Z INFO  gauge_mc_runner] Sampling 50/1024
[2024-02-26T20:25:30Z INFO  gauge_mc_runner] Sampling 60/1024
[2024-02-26T20:25:39Z INFO  gauge_mc_runner] Sampling 70/1024
[2024-02-26T20:25:47Z INFO  gauge_mc_runner] Sampling 80/1024
[2024-02-26T20:25:55Z INFO  gauge_mc_runner] Sampling 90/1024
[2024-02-26T20:26:03Z INFO  gauge_mc_runner] Sampling 100/1024
[2024-02-26T20:26:12Z INFO  gauge_mc_runner] Sampling 110/1024
[2024-02-26T20:26:20Z INFO  gauge_mc_runner] Sampling 120/1024
[2024-02-26T20:26:28Z INFO  gauge_mc_runner] Sampling 130/1024
[2024-02-26T20:26:37Z INFO  gauge_mc_runner] Sampling 140/1024
[2024-02-26T20:26:45Z INFO  gauge_mc_runner] Sampling 150/1024
[2024-02-26T20:26:53Z INFO  gauge_mc_runner] Sampling 160/1024
[2024-02-26T20:27:02Z INFO  gauge_mc_runner] Sampling 170/1024
[2024-02-26T20:27:10Z INFO  gauge_mc_runner] Sampling 180/1024
[2024-02-26T20:27:18Z INFO  gauge_mc_runner] Sampling 190/1024
[2024-02-26T20:27:27Z INFO  gauge_mc_runner] Sampling 200/1024
[2024-02-26T20:27:35Z INFO  gauge_mc_runner] Sampling 210/1024
[2024-02-26T20:27:43Z INFO  gauge_mc_runner] Sampling 220/1024
[2024-02-26T20:27:52Z INFO  gauge_mc_runner] Sampling 230/1024
[2024-02-26T20:28:00Z INFO  gauge_mc_runner] Sampling 240/1024
[2024-02-26T20:28:08Z INFO  gauge_mc_runner] Sampling 250/1024
[2024-02-26T20:28:16Z INFO  gauge_mc_runner] Sampling 260/1024
[2024-02-26T20:28:25Z INFO  gauge_mc_runner] Sampling 270/1024
[2024-02-26T20:28:33Z INFO  gauge_mc_runner] Sampling 280/1024
[2024-02-26T20:28:41Z INFO  gauge_mc_runner] Sampling 290/1024
[2024-02-26T20:28:50Z INFO  gauge_mc_runner] Sampling 300/1024
[2024-02-26T20:28:58Z INFO  gauge_mc_runner] Sampling 310/1024
[2024-02-26T20:29:06Z INFO  gauge_mc_runner] Sampling 320/1024
[2024-02-26T20:29:14Z INFO  gauge_mc_runner] Sampling 330/1024
[2024-02-26T20:29:23Z INFO  gauge_mc_runner] Sampling 340/1024
[2024-02-26T20:29:31Z INFO  gauge_mc_runner] Sampling 350/1024
[2024-02-26T20:29:39Z INFO  gauge_mc_runner] Sampling 360/1024
[2024-02-26T20:29:48Z INFO  gauge_mc_runner] Sampling 370/1024
[2024-02-26T20:29:56Z INFO  gauge_mc_runner] Sampling 380/1024
[2024-02-26T20:30:04Z INFO  gauge_mc_runner] Sampling 390/1024
[2024-02-26T20:30:12Z INFO  gauge_mc_runner] Sampling 400/1024
[2024-02-26T20:30:21Z INFO  gauge_mc_runner] Sampling 410/1024
[2024-02-26T20:30:29Z INFO  gauge_mc_runner] Sampling 420/1024
[2024-02-26T20:30:37Z INFO  gauge_mc_runner] Sampling 430/1024
[2024-02-26T20:30:45Z INFO  gauge_mc_runner] Sampling 440/1024
[2024-02-26T20:30:54Z INFO  gauge_mc_runner] Sampling 450/1024
[2024-02-26T20:31:02Z INFO  gauge_mc_runner] Sampling 460/1024
[2024-02-26T20:31:10Z INFO  gauge_mc_runner] Sampling 470/1024
[2024-02-26T20:31:18Z INFO  gauge_mc_runner] Sampling 480/1024
[2024-02-26T20:31:27Z INFO  gauge_mc_runner] Sampling 490/1024
[2024-02-26T20:31:35Z INFO  gauge_mc_runner] Sampling 500/1024
[2024-02-26T20:31:43Z INFO  gauge_mc_runner] Sampling 510/1024
[2024-02-26T20:31:51Z INFO  gauge_mc_runner] Sampling 520/1024
[2024-02-26T20:32:00Z INFO  gauge_mc_runner] Sampling 530/1024
[2024-02-26T20:32:08Z INFO  gauge_mc_runner] Sampling 540/1024
[2024-02-26T20:32:16Z INFO  gauge_mc_runner] Sampling 550/1024
[2024-02-26T20:32:24Z INFO  gauge_mc_runner] Sampling 560/1024
[2024-02-26T20:32:33Z INFO  gauge_mc_runner] Sampling 570/1024
[2024-02-26T20:32:41Z INFO  gauge_mc_runner] Sampling 580/1024
[2024-02-26T20:32:49Z INFO  gauge_mc_runner] Sampling 590/1024
[2024-02-26T20:32:57Z INFO  gauge_mc_runner] Sampling 600/1024
