    Finished release [optimized] target(s) in 0.05s
     Running `target/release/gauge_mc_runner --klow 0.7578 --khigh 0.7733 --potential-type binary -r 64 -N 1024 -w 128 -L 12 -s 32 --config-output /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=12/out-k07578-k07733.yaml --output-winding -o /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=12/out-k07578-k07733.npz`
[2024-02-26T20:54:40Z INFO  gauge_mc_runner] Warmup 0/128
[2024-02-26T20:54:48Z INFO  gauge_mc_runner] Warmup 10/128
[2024-02-26T20:54:56Z INFO  gauge_mc_runner] Warmup 20/128
[2024-02-26T20:55:04Z INFO  gauge_mc_runner] Warmup 30/128
[2024-02-26T20:55:13Z INFO  gauge_mc_runner] Warmup 40/128
[2024-02-26T20:55:21Z INFO  gauge_mc_runner] Warmup 50/128
[2024-02-26T20:55:29Z INFO  gauge_mc_runner] Warmup 60/128
[2024-02-26T20:55:37Z INFO  gauge_mc_runner] Warmup 70/128
[2024-02-26T20:55:46Z INFO  gauge_mc_runner] Warmup 80/128
[2024-02-26T20:55:54Z INFO  gauge_mc_runner] Warmup 90/128
[2024-02-26T20:56:02Z INFO  gauge_mc_runner] Warmup 100/128
[2024-02-26T20:56:10Z INFO  gauge_mc_runner] Warmup 110/128
[2024-02-26T20:56:19Z INFO  gauge_mc_runner] Warmup 120/128
[2024-02-26T20:56:25Z INFO  gauge_mc_runner] Done!
[2024-02-26T20:56:25Z INFO  gauge_mc_runner] Sampling 0/1024
[2024-02-26T20:56:34Z INFO  gauge_mc_runner] Sampling 10/1024
[2024-02-26T20:56:42Z INFO  gauge_mc_runner] Sampling 20/1024
[2024-02-26T20:56:50Z INFO  gauge_mc_runner] Sampling 30/1024
[2024-02-26T20:56:58Z INFO  gauge_mc_runner] Sampling 40/1024
[2024-02-26T20:57:07Z INFO  gauge_mc_runner] Sampling 50/1024
[2024-02-26T20:57:15Z INFO  gauge_mc_runner] Sampling 60/1024
[2024-02-26T20:57:23Z INFO  gauge_mc_runner] Sampling 70/1024
[2024-02-26T20:57:31Z INFO  gauge_mc_runner] Sampling 80/1024
[2024-02-26T20:57:40Z INFO  gauge_mc_runner] Sampling 90/1024
[2024-02-26T20:57:48Z INFO  gauge_mc_runner] Sampling 100/1024
[2024-02-26T20:57:56Z INFO  gauge_mc_runner] Sampling 110/1024
[2024-02-26T20:58:04Z INFO  gauge_mc_runner] Sampling 120/1024
[2024-02-26T20:58:13Z INFO  gauge_mc_runner] Sampling 130/1024
[2024-02-26T20:58:21Z INFO  gauge_mc_runner] Sampling 140/1024
[2024-02-26T20:58:29Z INFO  gauge_mc_runner] Sampling 150/1024
