    Finished release [optimized] target(s) in 0.05s
     Running `target/release/gauge_mc_runner --klow 0.64 --khigh 0.89 --potential-type binary -r 64 -N 1024 -w 128 -L 16 -s 32 --config-output /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=16/out-k064-k089.yaml --output-winding -o /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=16/out-k064-k089.npz`
[2024-02-26T22:22:59Z INFO  gauge_mc_runner] Warmup 0/128
[2024-02-26T22:23:28Z INFO  gauge_mc_runner] Warmup 10/128
[2024-02-26T22:23:57Z INFO  gauge_mc_runner] Warmup 20/128
[2024-02-26T22:24:26Z INFO  gauge_mc_runner] Warmup 30/128
[2024-02-26T22:24:55Z INFO  gauge_mc_runner] Warmup 40/128
[2024-02-26T22:25:24Z INFO  gauge_mc_runner] Warmup 50/128
[2024-02-26T22:25:52Z INFO  gauge_mc_runner] Warmup 60/128
[2024-02-26T22:26:21Z INFO  gauge_mc_runner] Warmup 70/128
[2024-02-26T22:26:50Z INFO  gauge_mc_runner] Warmup 80/128
[2024-02-26T22:27:19Z INFO  gauge_mc_runner] Warmup 90/128
[2024-02-26T22:27:47Z INFO  gauge_mc_runner] Warmup 100/128
[2024-02-26T22:28:16Z INFO  gauge_mc_runner] Warmup 110/128
[2024-02-26T22:28:45Z INFO  gauge_mc_runner] Warmup 120/128
[2024-02-26T22:29:08Z INFO  gauge_mc_runner] Done!
[2024-02-26T22:29:08Z INFO  gauge_mc_runner] Sampling 0/1024
[2024-02-26T22:29:37Z INFO  gauge_mc_runner] Sampling 10/1024
[2024-02-26T22:30:05Z INFO  gauge_mc_runner] Sampling 20/1024
[2024-02-26T22:30:34Z INFO  gauge_mc_runner] Sampling 30/1024
[2024-02-26T22:31:03Z INFO  gauge_mc_runner] Sampling 40/1024
[2024-02-26T22:31:32Z INFO  gauge_mc_runner] Sampling 50/1024
[2024-02-26T22:32:00Z INFO  gauge_mc_runner] Sampling 60/1024
[2024-02-26T22:32:29Z INFO  gauge_mc_runner] Sampling 70/1024
[2024-02-26T22:32:58Z INFO  gauge_mc_runner] Sampling 80/1024
[2024-02-26T22:33:26Z INFO  gauge_mc_runner] Sampling 90/1024
[2024-02-26T22:33:55Z INFO  gauge_mc_runner] Sampling 100/1024
[2024-02-26T22:34:24Z INFO  gauge_mc_runner] Sampling 110/1024
[2024-02-26T22:34:52Z INFO  gauge_mc_runner] Sampling 120/1024
[2024-02-26T22:35:21Z INFO  gauge_mc_runner] Sampling 130/1024
[2024-02-26T22:35:50Z INFO  gauge_mc_runner] Sampling 140/1024
[2024-02-26T22:36:18Z INFO  gauge_mc_runner] Sampling 150/1024
[2024-02-26T22:36:47Z INFO  gauge_mc_runner] Sampling 160/1024
[2024-02-26T22:37:16Z INFO  gauge_mc_runner] Sampling 170/1024
[2024-02-26T22:37:45Z INFO  gauge_mc_runner] Sampling 180/1024
[2024-02-26T22:38:13Z INFO  gauge_mc_runner] Sampling 190/1024
[2024-02-26T22:38:42Z INFO  gauge_mc_runner] Sampling 200/1024
[2024-02-26T22:39:11Z INFO  gauge_mc_runner] Sampling 210/1024
[2024-02-26T22:39:40Z INFO  gauge_mc_runner] Sampling 220/1024
[2024-02-26T22:40:08Z INFO  gauge_mc_runner] Sampling 230/1024
[2024-02-26T22:40:37Z INFO  gauge_mc_runner] Sampling 240/1024
[2024-02-26T22:41:06Z INFO  gauge_mc_runner] Sampling 250/1024
[2024-02-26T22:41:34Z INFO  gauge_mc_runner] Sampling 260/1024
