    Finished release [optimized] target(s) in 0.05s
     Running `target/release/gauge_mc_runner --klow 0.7578 --khigh 0.7733 --potential-type binary -r 64 -N 1024 -w 128 -L 16 -s 32 --config-output /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=16/out-k07578-k07733.yaml --output-winding -o /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=16/out-k07578-k07733.npz`
[2024-02-27T00:13:01Z INFO  gauge_mc_runner] Warmup 0/128
[2024-02-27T00:13:30Z INFO  gauge_mc_runner] Warmup 10/128
[2024-02-27T00:13:58Z INFO  gauge_mc_runner] Warmup 20/128
[2024-02-27T00:14:27Z INFO  gauge_mc_runner] Warmup 30/128
[2024-02-27T00:14:55Z INFO  gauge_mc_runner] Warmup 40/128
[2024-02-27T00:15:24Z INFO  gauge_mc_runner] Warmup 50/128
[2024-02-27T00:15:52Z INFO  gauge_mc_runner] Warmup 60/128
[2024-02-27T00:16:21Z INFO  gauge_mc_runner] Warmup 70/128
[2024-02-27T00:16:49Z INFO  gauge_mc_runner] Warmup 80/128
[2024-02-27T00:17:18Z INFO  gauge_mc_runner] Warmup 90/128
[2024-02-27T00:17:46Z INFO  gauge_mc_runner] Warmup 100/128
[2024-02-27T00:18:15Z INFO  gauge_mc_runner] Warmup 110/128
[2024-02-27T00:18:43Z INFO  gauge_mc_runner] Warmup 120/128
[2024-02-27T00:19:06Z INFO  gauge_mc_runner] Done!
[2024-02-27T00:19:06Z INFO  gauge_mc_runner] Sampling 0/1024
[2024-02-27T00:19:35Z INFO  gauge_mc_runner] Sampling 10/1024
[2024-02-27T00:20:03Z INFO  gauge_mc_runner] Sampling 20/1024
[2024-02-27T00:20:32Z INFO  gauge_mc_runner] Sampling 30/1024
[2024-02-27T00:21:00Z INFO  gauge_mc_runner] Sampling 40/1024
[2024-02-27T00:21:29Z INFO  gauge_mc_runner] Sampling 50/1024
[2024-02-27T00:21:57Z INFO  gauge_mc_runner] Sampling 60/1024
[2024-02-27T00:22:26Z INFO  gauge_mc_runner] Sampling 70/1024
[2024-02-27T00:22:55Z INFO  gauge_mc_runner] Sampling 80/1024
[2024-02-27T00:23:23Z INFO  gauge_mc_runner] Sampling 90/1024
[2024-02-27T00:23:52Z INFO  gauge_mc_runner] Sampling 100/1024
[2024-02-27T00:24:20Z INFO  gauge_mc_runner] Sampling 110/1024
[2024-02-27T00:24:49Z INFO  gauge_mc_runner] Sampling 120/1024
[2024-02-27T00:25:17Z INFO  gauge_mc_runner] Sampling 130/1024
[2024-02-27T00:25:46Z INFO  gauge_mc_runner] Sampling 140/1024
[2024-02-27T00:26:14Z INFO  gauge_mc_runner] Sampling 150/1024
[2024-02-27T00:26:43Z INFO  gauge_mc_runner] Sampling 160/1024
[2024-02-27T00:27:12Z INFO  gauge_mc_runner] Sampling 170/1024
[2024-02-27T00:27:40Z INFO  gauge_mc_runner] Sampling 180/1024
[2024-02-27T00:28:09Z INFO  gauge_mc_runner] Sampling 190/1024
[2024-02-27T00:28:37Z INFO  gauge_mc_runner] Sampling 200/1024
[2024-02-27T00:29:06Z INFO  gauge_mc_runner] Sampling 210/1024
[2024-02-27T00:29:34Z INFO  gauge_mc_runner] Sampling 220/1024
[2024-02-27T00:30:03Z INFO  gauge_mc_runner] Sampling 230/1024
[2024-02-27T00:30:31Z INFO  gauge_mc_runner] Sampling 240/1024
[2024-02-27T00:31:00Z INFO  gauge_mc_runner] Sampling 250/1024
[2024-02-27T00:31:28Z INFO  gauge_mc_runner] Sampling 260/1024
[2024-02-27T00:31:57Z INFO  gauge_mc_runner] Sampling 270/1024
[2024-02-27T00:32:25Z INFO  gauge_mc_runner] Sampling 280/1024
[2024-02-27T00:32:54Z INFO  gauge_mc_runner] Sampling 290/1024
[2024-02-27T00:33:22Z INFO  gauge_mc_runner] Sampling 300/1024
[2024-02-27T00:33:51Z INFO  gauge_mc_runner] Sampling 310/1024
[2024-02-27T00:34:19Z INFO  gauge_mc_runner] Sampling 320/1024
[2024-02-27T00:34:48Z INFO  gauge_mc_runner] Sampling 330/1024
[2024-02-27T00:35:17Z INFO  gauge_mc_runner] Sampling 340/1024
[2024-02-27T00:35:45Z INFO  gauge_mc_runner] Sampling 350/1024
[2024-02-27T00:36:14Z INFO  gauge_mc_runner] Sampling 360/1024
[2024-02-27T00:36:42Z INFO  gauge_mc_runner] Sampling 370/1024
[2024-02-27T00:37:11Z INFO  gauge_mc_runner] Sampling 380/1024
[2024-02-27T00:37:39Z INFO  gauge_mc_runner] Sampling 390/1024
[2024-02-27T00:38:08Z INFO  gauge_mc_runner] Sampling 400/1024
[2024-02-27T00:38:36Z INFO  gauge_mc_runner] Sampling 410/1024
[2024-02-27T00:39:05Z INFO  gauge_mc_runner] Sampling 420/1024
[2024-02-27T00:39:33Z INFO  gauge_mc_runner] Sampling 430/1024
[2024-02-27T00:40:02Z INFO  gauge_mc_runner] Sampling 440/1024
[2024-02-27T00:40:31Z INFO  gauge_mc_runner] Sampling 450/1024
[2024-02-27T00:40:59Z INFO  gauge_mc_runner] Sampling 460/1024
[2024-02-27T00:41:28Z INFO  gauge_mc_runner] Sampling 470/1024
[2024-02-27T00:41:56Z INFO  gauge_mc_runner] Sampling 480/1024
[2024-02-27T00:42:25Z INFO  gauge_mc_runner] Sampling 490/1024
[2024-02-27T00:42:53Z INFO  gauge_mc_runner] Sampling 500/1024
[2024-02-27T00:43:22Z INFO  gauge_mc_runner] Sampling 510/1024
[2024-02-27T00:43:50Z INFO  gauge_mc_runner] Sampling 520/1024
[2024-02-27T00:44:19Z INFO  gauge_mc_runner] Sampling 530/1024
[2024-02-27T00:44:47Z INFO  gauge_mc_runner] Sampling 540/1024
[2024-02-27T00:45:16Z INFO  gauge_mc_runner] Sampling 550/1024
[2024-02-27T00:45:44Z INFO  gauge_mc_runner] Sampling 560/1024
[2024-02-27T00:46:13Z INFO  gauge_mc_runner] Sampling 570/1024
[2024-02-27T00:46:42Z INFO  gauge_mc_runner] Sampling 580/1024
[2024-02-27T00:47:10Z INFO  gauge_mc_runner] Sampling 590/1024
[2024-02-27T00:47:39Z INFO  gauge_mc_runner] Sampling 600/1024
[2024-02-27T00:48:07Z INFO  gauge_mc_runner] Sampling 610/1024
[2024-02-27T00:48:36Z INFO  gauge_mc_runner] Sampling 620/1024
[2024-02-27T00:49:04Z INFO  gauge_mc_runner] Sampling 630/1024
[2024-02-27T00:49:33Z INFO  gauge_mc_runner] Sampling 640/1024
[2024-02-27T00:50:01Z INFO  gauge_mc_runner] Sampling 650/1024
[2024-02-27T00:50:30Z INFO  gauge_mc_runner] Sampling 660/1024
[2024-02-27T00:50:58Z INFO  gauge_mc_runner] Sampling 670/1024
[2024-02-27T00:51:27Z INFO  gauge_mc_runner] Sampling 680/1024
[2024-02-27T00:51:55Z INFO  gauge_mc_runner] Sampling 690/1024
[2024-02-27T00:52:24Z INFO  gauge_mc_runner] Sampling 700/1024
[2024-02-27T00:52:52Z INFO  gauge_mc_runner] Sampling 710/1024
[2024-02-27T00:53:21Z INFO  gauge_mc_runner] Sampling 720/1024
[2024-02-27T00:53:49Z INFO  gauge_mc_runner] Sampling 730/1024
[2024-02-27T00:54:18Z INFO  gauge_mc_runner] Sampling 740/1024
[2024-02-27T00:54:46Z INFO  gauge_mc_runner] Sampling 750/1024
[2024-02-27T00:55:15Z INFO  gauge_mc_runner] Sampling 760/1024
[2024-02-27T00:55:43Z INFO  gauge_mc_runner] Sampling 770/1024
[2024-02-27T00:56:12Z INFO  gauge_mc_runner] Sampling 780/1024
[2024-02-27T00:56:40Z INFO  gauge_mc_runner] Sampling 790/1024
[2024-02-27T00:57:09Z INFO  gauge_mc_runner] Sampling 800/1024
[2024-02-27T00:57:37Z INFO  gauge_mc_runner] Sampling 810/1024
[2024-02-27T00:58:06Z INFO  gauge_mc_runner] Sampling 820/1024
[2024-02-27T00:58:34Z INFO  gauge_mc_runner] Sampling 830/1024
[2024-02-27T00:59:03Z INFO  gauge_mc_runner] Sampling 840/1024
[2024-02-27T00:59:31Z INFO  gauge_mc_runner] Sampling 850/1024
[2024-02-27T01:00:00Z INFO  gauge_mc_runner] Sampling 860/1024
[2024-02-27T01:00:28Z INFO  gauge_mc_runner] Sampling 870/1024
[2024-02-27T01:00:57Z INFO  gauge_mc_runner] Sampling 880/1024
[2024-02-27T01:01:26Z INFO  gauge_mc_runner] Sampling 890/1024
[2024-02-27T01:01:54Z INFO  gauge_mc_runner] Sampling 900/1024
