    Finished release [optimized] target(s) in 0.05s
     Running `target/release/gauge_mc_runner --klow 0.5 --khigh 1.5 --potential-type binary -r 64 -N 1024 -w 128 -L 16 -s 32 --config-output /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=16/out-k05-k15.yaml --output-winding -o /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=16/out-k05-k15.npz`
[2024-02-26T21:26:23Z INFO  gauge_mc_runner] Warmup 0/128
[2024-02-26T21:26:53Z INFO  gauge_mc_runner] Warmup 10/128
[2024-02-26T21:27:22Z INFO  gauge_mc_runner] Warmup 20/128
[2024-02-26T21:27:52Z INFO  gauge_mc_runner] Warmup 30/128
[2024-02-26T21:28:22Z INFO  gauge_mc_runner] Warmup 40/128
[2024-02-26T21:28:51Z INFO  gauge_mc_runner] Warmup 50/128
[2024-02-26T21:29:21Z INFO  gauge_mc_runner] Warmup 60/128
[2024-02-26T21:29:51Z INFO  gauge_mc_runner] Warmup 70/128
[2024-02-26T21:30:20Z INFO  gauge_mc_runner] Warmup 80/128
[2024-02-26T21:30:50Z INFO  gauge_mc_runner] Warmup 90/128
[2024-02-26T21:31:19Z INFO  gauge_mc_runner] Warmup 100/128
[2024-02-26T21:31:49Z INFO  gauge_mc_runner] Warmup 110/128
[2024-02-26T21:32:18Z INFO  gauge_mc_runner] Warmup 120/128
[2024-02-26T21:32:42Z INFO  gauge_mc_runner] Done!
[2024-02-26T21:32:42Z INFO  gauge_mc_runner] Sampling 0/1024
[2024-02-26T21:33:11Z INFO  gauge_mc_runner] Sampling 10/1024
[2024-02-26T21:33:41Z INFO  gauge_mc_runner] Sampling 20/1024
[2024-02-26T21:34:10Z INFO  gauge_mc_runner] Sampling 30/1024
[2024-02-26T21:34:40Z INFO  gauge_mc_runner] Sampling 40/1024
[2024-02-26T21:35:09Z INFO  gauge_mc_runner] Sampling 50/1024
[2024-02-26T21:35:39Z INFO  gauge_mc_runner] Sampling 60/1024
