    Finished release [optimized] target(s) in 0.05s
     Running `target/release/gauge_mc_runner --klow 0.76349 --khigh 0.76736 --potential-type binary -r 64 -N 1024 -w 128 -L 16 -s 32 --config-output /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=16/out-k076349-k076736.yaml --output-winding -o /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=16/out-k076349-k076736.npz`
[2024-02-27T01:07:48Z INFO  gauge_mc_runner] Warmup 0/128
[2024-02-27T01:08:17Z INFO  gauge_mc_runner] Warmup 10/128
[2024-02-27T01:08:45Z INFO  gauge_mc_runner] Warmup 20/128
[2024-02-27T01:09:14Z INFO  gauge_mc_runner] Warmup 30/128
[2024-02-27T01:09:42Z INFO  gauge_mc_runner] Warmup 40/128
[2024-02-27T01:10:11Z INFO  gauge_mc_runner] Warmup 50/128
[2024-02-27T01:10:40Z INFO  gauge_mc_runner] Warmup 60/128
[2024-02-27T01:11:08Z INFO  gauge_mc_runner] Warmup 70/128
[2024-02-27T01:11:37Z INFO  gauge_mc_runner] Warmup 80/128
[2024-02-27T01:12:05Z INFO  gauge_mc_runner] Warmup 90/128
[2024-02-27T01:12:34Z INFO  gauge_mc_runner] Warmup 100/128
[2024-02-27T01:13:02Z INFO  gauge_mc_runner] Warmup 110/128
[2024-02-27T01:13:31Z INFO  gauge_mc_runner] Warmup 120/128
[2024-02-27T01:13:53Z INFO  gauge_mc_runner] Done!
[2024-02-27T01:13:53Z INFO  gauge_mc_runner] Sampling 0/1024
[2024-02-27T01:14:22Z INFO  gauge_mc_runner] Sampling 10/1024
[2024-02-27T01:14:51Z INFO  gauge_mc_runner] Sampling 20/1024
[2024-02-27T01:15:19Z INFO  gauge_mc_runner] Sampling 30/1024
[2024-02-27T01:15:48Z INFO  gauge_mc_runner] Sampling 40/1024
[2024-02-27T01:16:16Z INFO  gauge_mc_runner] Sampling 50/1024
[2024-02-27T01:16:45Z INFO  gauge_mc_runner] Sampling 60/1024
[2024-02-27T01:17:13Z INFO  gauge_mc_runner] Sampling 70/1024
[2024-02-27T01:17:42Z INFO  gauge_mc_runner] Sampling 80/1024
[2024-02-27T01:18:10Z INFO  gauge_mc_runner] Sampling 90/1024
[2024-02-27T01:18:39Z INFO  gauge_mc_runner] Sampling 100/1024
[2024-02-27T01:19:07Z INFO  gauge_mc_runner] Sampling 110/1024
[2024-02-27T01:19:36Z INFO  gauge_mc_runner] Sampling 120/1024
[2024-02-27T01:20:04Z INFO  gauge_mc_runner] Sampling 130/1024
[2024-02-27T01:20:33Z INFO  gauge_mc_runner] Sampling 140/1024
[2024-02-27T01:21:01Z INFO  gauge_mc_runner] Sampling 150/1024
[2024-02-27T01:21:30Z INFO  gauge_mc_runner] Sampling 160/1024
[2024-02-27T01:21:59Z INFO  gauge_mc_runner] Sampling 170/1024
[2024-02-27T01:22:27Z INFO  gauge_mc_runner] Sampling 180/1024
[2024-02-27T01:22:56Z INFO  gauge_mc_runner] Sampling 190/1024
[2024-02-27T01:23:24Z INFO  gauge_mc_runner] Sampling 200/1024
[2024-02-27T01:23:53Z INFO  gauge_mc_runner] Sampling 210/1024
[2024-02-27T01:24:21Z INFO  gauge_mc_runner] Sampling 220/1024
[2024-02-27T01:24:50Z INFO  gauge_mc_runner] Sampling 230/1024
[2024-02-27T01:25:18Z INFO  gauge_mc_runner] Sampling 240/1024
[2024-02-27T01:25:47Z INFO  gauge_mc_runner] Sampling 250/1024
[2024-02-27T01:26:15Z INFO  gauge_mc_runner] Sampling 260/1024
[2024-02-27T01:26:44Z INFO  gauge_mc_runner] Sampling 270/1024
[2024-02-27T01:27:12Z INFO  gauge_mc_runner] Sampling 280/1024
[2024-02-27T01:27:41Z INFO  gauge_mc_runner] Sampling 290/1024
[2024-02-27T01:28:09Z INFO  gauge_mc_runner] Sampling 300/1024
[2024-02-27T01:28:38Z INFO  gauge_mc_runner] Sampling 310/1024
[2024-02-27T01:29:06Z INFO  gauge_mc_runner] Sampling 320/1024
[2024-02-27T01:29:35Z INFO  gauge_mc_runner] Sampling 330/1024
[2024-02-27T01:30:03Z INFO  gauge_mc_runner] Sampling 340/1024
[2024-02-27T01:30:32Z INFO  gauge_mc_runner] Sampling 350/1024
[2024-02-27T01:31:01Z INFO  gauge_mc_runner] Sampling 360/1024
[2024-02-27T01:31:29Z INFO  gauge_mc_runner] Sampling 370/1024
[2024-02-27T01:31:58Z INFO  gauge_mc_runner] Sampling 380/1024
[2024-02-27T01:32:26Z INFO  gauge_mc_runner] Sampling 390/1024
[2024-02-27T01:32:55Z INFO  gauge_mc_runner] Sampling 400/1024
[2024-02-27T01:33:23Z INFO  gauge_mc_runner] Sampling 410/1024
[2024-02-27T01:33:52Z INFO  gauge_mc_runner] Sampling 420/1024
[2024-02-27T01:34:20Z INFO  gauge_mc_runner] Sampling 430/1024
