    Finished release [optimized] target(s) in 0.05s
     Running `target/release/gauge_mc_runner --klow 0.64 --khigh 0.89 --potential-type binary -r 64 -N 1024 -w 128 -L 10 -s 32 --config-output /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=10/out-k064-k089.yaml --output-winding -o /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=10/out-k064-k089.npz`
[2024-02-26T19:34:47Z INFO  gauge_mc_runner] Warmup 0/128
[2024-02-26T19:34:52Z INFO  gauge_mc_runner] Warmup 10/128
[2024-02-26T19:34:56Z INFO  gauge_mc_runner] Warmup 20/128
[2024-02-26T19:35:00Z INFO  gauge_mc_runner] Warmup 30/128
[2024-02-26T19:35:04Z INFO  gauge_mc_runner] Warmup 40/128
[2024-02-26T19:35:08Z INFO  gauge_mc_runner] Warmup 50/128
[2024-02-26T19:35:13Z INFO  gauge_mc_runner] Warmup 60/128
[2024-02-26T19:35:17Z INFO  gauge_mc_runner] Warmup 70/128
[2024-02-26T19:35:21Z INFO  gauge_mc_runner] Warmup 80/128
[2024-02-26T19:35:25Z INFO  gauge_mc_runner] Warmup 90/128
[2024-02-26T19:35:29Z INFO  gauge_mc_runner] Warmup 100/128
[2024-02-26T19:35:33Z INFO  gauge_mc_runner] Warmup 110/128
[2024-02-26T19:35:38Z INFO  gauge_mc_runner] Warmup 120/128
[2024-02-26T19:35:41Z INFO  gauge_mc_runner] Done!
[2024-02-26T19:35:41Z INFO  gauge_mc_runner] Sampling 0/1024
[2024-02-26T19:35:45Z INFO  gauge_mc_runner] Sampling 10/1024
[2024-02-26T19:35:49Z INFO  gauge_mc_runner] Sampling 20/1024
[2024-02-26T19:35:53Z INFO  gauge_mc_runner] Sampling 30/1024
[2024-02-26T19:35:58Z INFO  gauge_mc_runner] Sampling 40/1024
[2024-02-26T19:36:02Z INFO  gauge_mc_runner] Sampling 50/1024
[2024-02-26T19:36:06Z INFO  gauge_mc_runner] Sampling 60/1024
[2024-02-26T19:36:10Z INFO  gauge_mc_runner] Sampling 70/1024
[2024-02-26T19:36:14Z INFO  gauge_mc_runner] Sampling 80/1024
[2024-02-26T19:36:18Z INFO  gauge_mc_runner] Sampling 90/1024
[2024-02-26T19:36:23Z INFO  gauge_mc_runner] Sampling 100/1024
[2024-02-26T19:36:27Z INFO  gauge_mc_runner] Sampling 110/1024
[2024-02-26T19:36:31Z INFO  gauge_mc_runner] Sampling 120/1024
[2024-02-26T19:36:35Z INFO  gauge_mc_runner] Sampling 130/1024
[2024-02-26T19:36:39Z INFO  gauge_mc_runner] Sampling 140/1024
[2024-02-26T19:36:43Z INFO  gauge_mc_runner] Sampling 150/1024
[2024-02-26T19:36:47Z INFO  gauge_mc_runner] Sampling 160/1024
[2024-02-26T19:36:52Z INFO  gauge_mc_runner] Sampling 170/1024
[2024-02-26T19:36:56Z INFO  gauge_mc_runner] Sampling 180/1024
[2024-02-26T19:37:00Z INFO  gauge_mc_runner] Sampling 190/1024
[2024-02-26T19:37:04Z INFO  gauge_mc_runner] Sampling 200/1024
[2024-02-26T19:37:08Z INFO  gauge_mc_runner] Sampling 210/1024
[2024-02-26T19:37:12Z INFO  gauge_mc_runner] Sampling 220/1024
[2024-02-26T19:37:17Z INFO  gauge_mc_runner] Sampling 230/1024
[2024-02-26T19:37:21Z INFO  gauge_mc_runner] Sampling 240/1024
[2024-02-26T19:37:25Z INFO  gauge_mc_runner] Sampling 250/1024
[2024-02-26T19:37:29Z INFO  gauge_mc_runner] Sampling 260/1024
[2024-02-26T19:37:33Z INFO  gauge_mc_runner] Sampling 270/1024
[2024-02-26T19:37:37Z INFO  gauge_mc_runner] Sampling 280/1024
[2024-02-26T19:37:42Z INFO  gauge_mc_runner] Sampling 290/1024
[2024-02-26T19:37:46Z INFO  gauge_mc_runner] Sampling 300/1024
[2024-02-26T19:37:50Z INFO  gauge_mc_runner] Sampling 310/1024
[2024-02-26T19:37:54Z INFO  gauge_mc_runner] Sampling 320/1024
[2024-02-26T19:37:58Z INFO  gauge_mc_runner] Sampling 330/1024
[2024-02-26T19:38:02Z INFO  gauge_mc_runner] Sampling 340/1024
[2024-02-26T19:38:07Z INFO  gauge_mc_runner] Sampling 350/1024
[2024-02-26T19:38:11Z INFO  gauge_mc_runner] Sampling 360/1024
[2024-02-26T19:38:15Z INFO  gauge_mc_runner] Sampling 370/1024
[2024-02-26T19:38:19Z INFO  gauge_mc_runner] Sampling 380/1024
[2024-02-26T19:38:23Z INFO  gauge_mc_runner] Sampling 390/1024
[2024-02-26T19:38:27Z INFO  gauge_mc_runner] Sampling 400/1024
[2024-02-26T19:38:32Z INFO  gauge_mc_runner] Sampling 410/1024
[2024-02-26T19:38:36Z INFO  gauge_mc_runner] Sampling 420/1024
[2024-02-26T19:38:40Z INFO  gauge_mc_runner] Sampling 430/1024
[2024-02-26T19:38:44Z INFO  gauge_mc_runner] Sampling 440/1024
[2024-02-26T19:38:48Z INFO  gauge_mc_runner] Sampling 450/1024
[2024-02-26T19:38:52Z INFO  gauge_mc_runner] Sampling 460/1024
[2024-02-26T19:38:57Z INFO  gauge_mc_runner] Sampling 470/1024
[2024-02-26T19:39:01Z INFO  gauge_mc_runner] Sampling 480/1024
[2024-02-26T19:39:05Z INFO  gauge_mc_runner] Sampling 490/1024
[2024-02-26T19:39:09Z INFO  gauge_mc_runner] Sampling 500/1024
[2024-02-26T19:39:13Z INFO  gauge_mc_runner] Sampling 510/1024
[2024-02-26T19:39:17Z INFO  gauge_mc_runner] Sampling 520/1024
[2024-02-26T19:39:21Z INFO  gauge_mc_runner] Sampling 530/1024
[2024-02-26T19:39:26Z INFO  gauge_mc_runner] Sampling 540/1024
[2024-02-26T19:39:30Z INFO  gauge_mc_runner] Sampling 550/1024
[2024-02-26T19:39:34Z INFO  gauge_mc_runner] Sampling 560/1024
[2024-02-26T19:39:38Z INFO  gauge_mc_runner] Sampling 570/1024
[2024-02-26T19:39:42Z INFO  gauge_mc_runner] Sampling 580/1024
[2024-02-26T19:39:46Z INFO  gauge_mc_runner] Sampling 590/1024
[2024-02-26T19:39:51Z INFO  gauge_mc_runner] Sampling 600/1024
[2024-02-26T19:39:55Z INFO  gauge_mc_runner] Sampling 610/1024
[2024-02-26T19:39:59Z INFO  gauge_mc_runner] Sampling 620/1024
[2024-02-26T19:40:03Z INFO  gauge_mc_runner] Sampling 630/1024
[2024-02-26T19:40:07Z INFO  gauge_mc_runner] Sampling 640/1024
[2024-02-26T19:40:11Z INFO  gauge_mc_runner] Sampling 650/1024
[2024-02-26T19:40:16Z INFO  gauge_mc_runner] Sampling 660/1024
[2024-02-26T19:40:20Z INFO  gauge_mc_runner] Sampling 670/1024
[2024-02-26T19:40:24Z INFO  gauge_mc_runner] Sampling 680/1024
[2024-02-26T19:40:28Z INFO  gauge_mc_runner] Sampling 690/1024
[2024-02-26T19:40:32Z INFO  gauge_mc_runner] Sampling 700/1024
[2024-02-26T19:40:36Z INFO  gauge_mc_runner] Sampling 710/1024
[2024-02-26T19:40:41Z INFO  gauge_mc_runner] Sampling 720/1024
[2024-02-26T19:40:45Z INFO  gauge_mc_runner] Sampling 730/1024
[2024-02-26T19:40:49Z INFO  gauge_mc_runner] Sampling 740/1024
[2024-02-26T19:40:53Z INFO  gauge_mc_runner] Sampling 750/1024
[2024-02-26T19:40:57Z INFO  gauge_mc_runner] Sampling 760/1024
[2024-02-26T19:41:01Z INFO  gauge_mc_runner] Sampling 770/1024
[2024-02-26T19:41:06Z INFO  gauge_mc_runner] Sampling 780/1024
[2024-02-26T19:41:10Z INFO  gauge_mc_runner] Sampling 790/1024
[2024-02-26T19:41:14Z INFO  gauge_mc_runner] Sampling 800/1024
[2024-02-26T19:41:18Z INFO  gauge_mc_runner] Sampling 810/1024
[2024-02-26T19:41:22Z INFO  gauge_mc_runner] Sampling 820/1024
[2024-02-26T19:41:26Z INFO  gauge_mc_runner] Sampling 830/1024
[2024-02-26T19:41:31Z INFO  gauge_mc_runner] Sampling 840/1024
[2024-02-26T19:41:35Z INFO  gauge_mc_runner] Sampling 850/1024
[2024-02-26T19:41:39Z INFO  gauge_mc_runner] Sampling 860/1024
[2024-02-26T19:41:43Z INFO  gauge_mc_runner] Sampling 870/1024
[2024-02-26T19:41:47Z INFO  gauge_mc_runner] Sampling 880/1024
[2024-02-26T19:41:51Z INFO  gauge_mc_runner] Sampling 890/1024
[2024-02-26T19:41:56Z INFO  gauge_mc_runner] Sampling 900/1024
[2024-02-26T19:42:00Z INFO  gauge_mc_runner] Sampling 910/1024
[2024-02-26T19:42:04Z INFO  gauge_mc_runner] Sampling 920/1024
[2024-02-26T19:42:08Z INFO  gauge_mc_runner] Sampling 930/1024
[2024-02-26T19:42:12Z INFO  gauge_mc_runner] Sampling 940/1024
[2024-02-26T19:42:16Z INFO  gauge_mc_runner] Sampling 950/1024
[2024-02-26T19:42:20Z INFO  gauge_mc_runner] Sampling 960/1024
[2024-02-26T19:42:25Z INFO  gauge_mc_runner] Sampling 970/1024
[2024-02-26T19:42:29Z INFO  gauge_mc_runner] Sampling 980/1024
[2024-02-26T19:42:33Z INFO  gauge_mc_runner] Sampling 990/1024
[2024-02-26T19:42:37Z INFO  gauge_mc_runner] Sampling 1000/1024
